,Unnamed: 0,Material,Name..global...english,Chemical.group,Phase,CAS.no._1,CAS.no._2,CAS.no._3,csid
58,59,690997,BORONAL,ALDEHYDE,,3155-71-3,,,16435206
59,60,131249,BOURGEONAL,ALDEHYDE,,18127-01-0,,,58364
60,61,195583,BUCCOXIME¬,OXIME,,75147-23-8,,,212785
61,62,130149,BUTYL ACETATE,ESTER,,123-86-4,,,29012
62,63,131339,BUTYL BUTYRYL LACTATE,ESTER,,7492-70-8,,,32786871
63,64,164709,BUTYL CYCLOHEXANOL PARA-TERT.,ALCOHOL,S,98-52-2,,,7113
64,65,104625,BUTYL CYCLOHEXANON PARA-TERT.,KETONE,S,98-53-3,,,7114
65,66,197017,BUTYL QUINOLINE-6-SEC.(PYRALONE),HETEROCYCLIC,,65442-31-1,,,93359
66,67,131437,CALONE,KETONE,S,28940-11-6,,,107218
67,68,164178,CAMPHENE,HYDROCARBON,S,79-92-5,,,83259
68,69,130465,CAMPHOR DL,KETONE,S,76-22-2,,,392267
69,70,904679,CAMPHOR DL FG (ORAL CARE & FRA USE ONLY),KETONE,S,76-22-2,,,392267
70,71,131501,CANTHOXAL,ALDEHYDE,,5462-06-6,,,58345
71,72,100205,CANTRYL¬,NITRILE,,15373-31-6,,,10302378
72,73,660534,CARVACROL,PHENOL,,499-75-2,,,26051340
73,74,106811,CARVONE D NAT.,KETONE,,2244-16-8,,,21475139
74,75,130178,CARVONE L,KETONE,,6485-40-1,,,21106424
75,76,611499,CARYOPHYLLENE ACETATE,ESTER,,57082-24-3,,,55961
76,77,690012,CARYOPHYLLENE NAT. RECT.,HYDROCARBON,,87-44-5,,,28473589
77,78,198024,CASHMERAN,KETONE,S,33704-61-9,,,32787248
78,79,658615,CASSIONE,KETONE,S,55418-52-5,,,55934
79,80,131288,CEDRAMBER,ETHER,,19870-74-7,,,21160668
80,81,130188,CEDROL CRIST.,ALCOHOL,S,77-53-2,,,59018
81,82,197011,CEDROXID,ETHER,,71735-79-0,,,5021071
82,83,131278,CEDRYL ACETATE,ESTER,,77-54-3,,,29415663
83,84,130185,CEDRYL ACETATE CRYST.,ESTER,S,77-54-3,,,29415663
84,85,105655,CETALOX,ETHER,S,3738-00-9,,,9282502
85,86,105253,CETONAL,ALDEHYDE,,65405-84-7,,,503408
86,87,103631,CETONE ALPHA,KETONE,,127-51-5,,,4522510
87,88,600144,CHRYSANTHEME,KETONE,,69929-17-5,,,100566
88,89,600474,CINAROL,ALCOHOL,,1504-55-8,,,4575656
89,90,654060,CINNAMIC ALCOHOL,ALCOHOL,S,104-54-1,,,21105870
90,91,654040,CINNAMIC ALDEHYDE,ALDEHYDE,,104-55-2,,,553117
91,92,611105,CINNAMYL ACETATE,ESTER,,103-54-8,,,7377
92,93,103394,CINNAMYL ISOBUTYRATE,ESTER,,103-59-3,,,4511740
93,94,131345,CINNAMYL NITRILE,NITRILE,,1885-38-7,,,1361450
94,95,658620,CISTULATE 09126,ESTER,,52557-97-8,,,32814825
95,96,157503,CITRAL 95,ALDEHYDE,,5392-40-5,,,23254572
96,97,690127,CITRAL DIETHYL ACETAL,ACETAL,,7492-66-2,,,4517739
97,98,164229,CITRIC ACID MONOHYDRATE MSF,ACID,S,5949-29-1,77-92-9,,20872
98,99,601344,CITRONELLAL NAT. SUPRA,ALDEHYDE,,106-23-0,,,8278890
99,100,188285,CITRONELLAL SYNTH.,ALDEHYDE,,106-23-0,,,8278890
100,101,106184,CITRONELLOL 950,ALCOHOL,,106-22-9,,,13850135
101,102,106216,CITRONELLYL ACETATE EXTRA,ESTER,,150-84-5,,,8667
102,103,103596,CITRONELLYL BUTYRATE,ESTER,,141-16-2,,,8503
103,104,103597,CITRONELLYL FORMATE,ESTER,,105-85-1,,,58107148
104,105,131120,CITRONELLYL ISOBUTYRATE,ESTER,,97-89-2,,,54946
105,106,103598,CITRONELLYL PROPIONATE,ESTER,,141-14-0,,,34987727
106,107,104083,CITRONELLYL TIGLATE,ESTER,,24717-85-9,,,30771723
107,108,611455,CITRONITRILE,NITRILE,,53243-59-7,53243-60-0,93893-89-1,1154998
108,109,103593,CITROWANIL¬ B,NITRILE,,97384-48-0,,,4576366
109,110,690980,CITRYLAL,ACETAL,,147060-73-9,90480-35-6,,8511
110,111,103080,CIVETONE,KETONE,S,542-46-1,,,34451717
111,112,600285,CLARITONE¬,KETONE,,74338-72-0,,,7991177
112,113,198046,CLONAL,NITRILE,,2437-25-4,,,16177
113,114,105136,CORPS EGLANTINE,ETHER,,64988-06-3,,,102427
114,115,600164,CORPS RACINE,HETEROCYCLIC,,2110-18-1,,,404399
115,116,130217,COUMARIN,LACTONE,S,91-64-5,,,13848793
116,117,600303,COUMARONE,KETONE,S,1646-26-0,,,14690
117,118,104087,CRESYL ACETATE PARA,ESTER,,140-39-6,,,21106001
118,119,104088,CRESYL CAPRYLATE PARA,ESTER,,59558-23-5,,,39230
119,120,198026,CRESYL ISOBUTYRATE PARA,ESTER,,103-93-5,,,11285196
120,121,613754,CRESYL METHYL ETHER P(CR<10 PPM),ETHER,,104-93-8,,,15140423
121,122,660314,CRESYL METHYL ETHER PARA,ETHER,,104-93-8,,,15140423
