Material,Name,Chemical.group,Phase,CAS,CASNO2,CASNO3,csid
660361,PHENYLETHYL CINNAMATE CRYST.,ESTER,S,103-53-7,,,7376
103258,PHENYLETHYL DIMETHYL CARBINOL,ALCOHOL,,103-05-9,,,2286203
103614,PHENYLETHYL FORMATE,ESTER,,104-62-1,,,307171
103934,PHENYLETHYL ISOBUTYRATE,ESTER,,103-48-0,,,494873
131090,PHENYLETHYL ISOTHIOCYANATE,ESTER,,2257-09-2,,,15870
103935,PHENYLETHYL ISOVALERATE,ESTER,,140-26-1,,,10438504
103222,PHENYLETHYL METHYL ETHER,ETHER,,3558-60-9,,,18022
103936,PHENYLETHYL PHENYLACETATE,ESTER,,102-20-5,,,3276662
658982,PHENYLETHYL SALICYLATE,ESTER,S,87-22-9,,,56124
660165,PHENYLPROPYL ALCOHOL,ALCOHOL,,122-97-4,,,13871718
130412,PHENYLPROPYL ALDEHYDE,ALDEHYDE,,104-53-0,,,205715
160223,PINENE ALPHA LAEVO NAT.,HYDROCARBON,,80-56-8,,,92484
130122,PINENE BETA NAT.,HYDROCARBON,,127-91-3,,,14198
103237,PINOACET ALDEHYDE,ALDEHYDE,,33885-51-7,,,29366461
103374,PLICATONE,KETONE,,41724-19-0,,,187270
659616,POIVROL¬,ESTER,,68966-86-9,,,32815755
106142,POLYSANTOL,ALCOHOL,,107898-54-4,,,23349145
904691,POLYSANTOL (MYSANTOL),ALCOHOL,,107898-54-4,,,23349145
103843,PRECYCLEMONE B,ALDEHYDE,,52474-60-9,52475-86-2,,22886602
601331,PRENYL ACETATE,ESTER,,1191-16-8,,,13834
103483,PRENYL SALICYLATE,ESTER,,68555-58-8,,,57523900
656079,PROFARNESAL,ALDEHYDE,,54082-68-7,,,82271
660137,PROJASMONE P,KETONE,,137-03-1,,,9302034
131115,PROPENYL GUAETHOL,PHENOL,S,94-86-0,,,17599678
131301,PROPYL ACETATE,ESTER,,109-60-4,,,7706
160221,"PROPYLENE GLYCOL-1,2",ALCOHOL,,57-55-6,,,13835224
611421,PYROPRUNAT,ESTER,,68039-73-6,,,21162589
198028,RESEDA BODY,ACETAL,,67633-94-7,,,225289
690520,RESEDAFOL,ACETAL,,7493-57-4,,,32786967
658742,RESEDYLACETAL,ACETAL,,10022-28-3,,,3647763
106108,RHOLIATE,ESTER,,93981-50-1,,,230409
198039,RHUBOFIX,ETHER,,41816-03-9,,,85298
907625,ROMANDOLIDE,ESTER,,236391-76-7,,,10688094
100060,ROMASCONE,ESTER,,81752-87-6,,,9270402
130770,ROSACETATE,ESTER,S,90-17-5,,,6741
600064,ROSAPHEN¬,ALCOHOL,,25634-93-9,,,4576354
106268,ROSE OXIDE HIGH CIS,ETHER,,16409-43-1,,,31043460
130780,ROSE OXIDE L,ETHER,,16409-43-1,,,31043460
107077,ROSYRANE SUPER,ETHER,,60335-71-9,,,225224
621361,SAFRALEINE,KETONE,,54440-17-4,,,34991098
165208,SAFRANAL,ALDEHYDE,,116-26-7,,,55000
107396,SAGECETE,ESTER,,131766-73-9,,,23349556
105188,SANDAL MYSORE CORE,ALCOHOL,,28219-60-5,,,21173224
131502,SANDALORE,ALCOHOL,,65113-99-7,,,93216
600001,SANDRANOL¬,ALCOHOL,,28219-61-6,,,4942687
172313,SANJINOL,ALCOHOL,,28219-61-6,,,4942687
104316,SCENTENAL,ALDEHYDE,,86803-90-9,,,143443
100199,SILVIAL,ALDEHYDE,,6658-48-6,,,99560
684804,SPIROGALBANONE PURE,KETONE,,224031-70-3,224031-71-4,,13694751
131157,STEMONE,OXIME,,22457-23-4,,,24591520
611357,STYRALYL ACETATE,ESTER,,93-92-5,,,56133
903938,STYRALYL ACETATE FG,ESTER,,93-92-5,,,56133
660414,STYRALYL ALCOHOL,ALCOHOL,,98-85-1,,,31043683
611467,STYRALYL PROPIONATE,ESTER,,120-45-6,,,5324581
131449,SULFUROL,HETEROCYCLIC,,137-00-8,,,1104
100072,SULTANENE¬,ESTER,,15848-49-4,,,9052605
902958,SYMFRESH¬ NX,ESTER,,25265-77-4,,,34988588
148469,SYMROSE¬,ALCOHOL,,830322-14-0,,,13536001
109818,SYMROXANE,ACETAL,,393517-28-7,393517-29-8,676125-00-1,28552743
104312,SYVERTAL,ACETAL,,4359-47-1,,,96538
103229,TABANON,KETONE,,13215-88-8,163440-97-9,,18661975
659672,TABANON COEUR,KETONE,,13215-88-8,163440-97-9,,18661975
195795,TANGERINOL,ESTER,,3239-35-8,,,4680697
131002,TERPINENE GAMMA,HYDROCARBON,,99-85-4,,,7181
600044,TERPINEOL  RECT.,ALCOHOL,,8000-41-7,,,31102932
130817,TERPINEOL ALPHA,ALCOHOL,,98-55-5,,,13850142
130813,TERPINEOL PURE,ALCOHOL,,8000-41-7,,,31102932
660425,TERPINOLENE,HYDROCARBON,,586-62-9,,,10979
130837,TERPINYL ACETATE,ESTER,,8007-35-0,,,57427099
600035,TERRANOL¬,ALCOHOL,S,57566-26-4,88644-30-8,,1386337
130752,TETRAHYDRO CITRAL,ALDEHYDE,,5988-91-0,,,13076833
130990,TETRAHYDRO LINALOOL,ALCOHOL,,78-69-3,,,6300
105480,TETRAHYDRO LINALYL ACETATE,ESTER,,20780-48-7,,,80665
131098,TETRAHYDRO METHYL QUINOLINE PARA,AMINE,,91-61-2,,,232155
107617,TETRAHYDRO MYRCENOL,ALCOHOL,,18479-57-7,,,78251
106217,TETRAHYDROGERANIOL,ALCOHOL,,106-21-8,,,5367503
131525,"TETRAMETHYL PYRAZINE-2,3,5,6",HETEROCYCLIC,S,1124-11-4,,,13658
131431,"THIOMENTHANONE-8,3",KETONE,,38462-22-5,,,55833
162075,TOLYLALDEHYDE PARA FG,ALDEHYDE,,104-87-0,,,13865424
600745,TOSCANOL,ETHER,,16510-27-3,,,4927987
104304,TRIDECEN NITRILE-2,NITRILE,,22629-49-8,,,5020973
131224,TRIDECENAL TRANS-2,ALDEHYDE,,7774-82-5,,,4446484
104325,TRIFERNAL,ALDEHYDE,,16251-77-7,,,27019549
131382,TRIMOFIX O,KETONE,,144020-22-4,,,26553738
964390,TRIMOFIX O BM,KETONE,,144020-22-4,,,26553738
182461,UNDECALACTONE DELTA,LACTONE,,710-04-3,,,34990345
131375,UNDECENAL TRANS-2,ALDEHYDE,,2463-77-6,53448-07-0,,4936357
130878,UNDECYLENIC ALCOHOL,ALCOHOL,,112-43-6,,,7893
113552,VALEROLACTONE GAMMA,LACTONE,,108-29-2,,,7633
131423,VELOUTONE,KETONE,,65443-14-3,,,103394
195933,VELVIONE,KETONE,,37609-25-9,,,26547690
105656,AMYL SALICYLATE,ESTER,,,,,15465
699713,ARCOSOLVE DPMA GLYCO ETHER,,,,,,109020
195564,AURANTIOL,SCHIFF-BASE,,,,,32696556
660554,CARENE DELTA-3 NAT.,HYDROCARBON,,,,,24263
659577,"CINEOL 1,4",ETHER,,,,,23976355
198031,CORTEX ALDEHYDE 50,ALDEHYDE,,,,,67586
131228,DIHYDRO TERPINEOL,ALCOHOL,,,,,9926
130265,DIPENTENE,HYDROCARBON,,,,,4517561
103383,ETHYL SAFRANATE,ESTER,,,,,105633
197016,FLORALOZONE,ALDEHYDE,,,,,95151
100360,FLORAZON,ALDEHYDE,,,,,0
105562,GALBANOLENE SUPER,HYDROCARBON,,,,,4423393
170044,GERANIOL 60,ALCOHOL,,,,,4303
903290,GERANIOL 60 B,ALCOHOL,,,,,4303
103161,ISOJASMONE,KETONE,,,,,30777180
620107,ISOMENTHONE,KETONE,S,,,,4937714
130969,OCIMENE,HYDROCARBON,,,,,4478390
103944,TERPINOLENE DAK,HYDROCARBON,,,,,32697320
103849,TETRAHYDRO MUGUOL,ALCOHOL,,,,,5020894
130706,TOLYL ACETALDEHYDE PARA 50% DPG,ALDEHYDE,,,,,21169769
