Material,Name,Chemical.group,Phase,CAS,CASNO2,CASNO3,csid
654060,CINNAMIC ALCOHOL,ALCOHOL,S,104-54-1,,,21105870
654040,CINNAMIC ALDEHYDE,ALDEHYDE,,104-55-2,,,553117
611105,CINNAMYL ACETATE,ESTER,,103-54-8,,,7377
103394,CINNAMYL ISOBUTYRATE,ESTER,,103-59-3,,,4511740
131345,CINNAMYL NITRILE,NITRILE,,1885-38-7,,,1361450
658620,CISTULATE 09126,ESTER,,52557-97-8,,,32814825
157503,CITRAL 95,ALDEHYDE,,5392-40-5,,,23254572
690127,CITRAL DIETHYL ACETAL,ACETAL,,7492-66-2,,,4517739
164229,CITRIC ACID MONOHYDRATE MSF,ACID,S,5949-29-1,77-92-9,,20872
601344,CITRONELLAL NAT. SUPRA,ALDEHYDE,,106-23-0,,,8278890
188285,CITRONELLAL SYNTH.,ALDEHYDE,,106-23-0,,,8278890
106184,CITRONELLOL 950,ALCOHOL,,106-22-9,,,13850135
106216,CITRONELLYL ACETATE EXTRA,ESTER,,150-84-5,,,8667
103596,CITRONELLYL BUTYRATE,ESTER,,141-16-2,,,8503
103597,CITRONELLYL FORMATE,ESTER,,105-85-1,,,58107148
131120,CITRONELLYL ISOBUTYRATE,ESTER,,97-89-2,,,54946
103598,CITRONELLYL PROPIONATE,ESTER,,141-14-0,,,34987727
104083,CITRONELLYL TIGLATE,ESTER,,24717-85-9,,,30771723
611455,CITRONITRILE,NITRILE,,53243-59-7,53243-60-0,93893-89-1,1154998
103593,CITROWANIL¬ B,NITRILE,,97384-48-0,,,4576366
690980,CITRYLAL,ACETAL,,147060-73-9,90480-35-6,,8511
103080,CIVETONE,KETONE,S,542-46-1,,,34451717
600285,CLARITONE¬,KETONE,,74338-72-0,,,7991177
198046,CLONAL,NITRILE,,2437-25-4,,,16177
105136,CORPS EGLANTINE,ETHER,,64988-06-3,,,102427
600164,CORPS RACINE,HETEROCYCLIC,,2110-18-1,,,404399
130217,COUMARIN,LACTONE,S,91-64-5,,,13848793
600303,COUMARONE,KETONE,S,1646-26-0,,,14690
104087,CRESYL ACETATE PARA,ESTER,,140-39-6,,,21106001
104088,CRESYL CAPRYLATE PARA,ESTER,,59558-23-5,,,39230
198026,CRESYL ISOBUTYRATE PARA,ESTER,,103-93-5,,,11285196
613754,CRESYL METHYL ETHER P(CR<10 PPM),ETHER,,104-93-8,,,15140423
660314,CRESYL METHYL ETHER PARA,ETHER,,104-93-8,,,15140423
131022,CRESYL PHENYL ACETATE PARA,ESTER,S,101-94-0,,,54958
131180,CUMINIC ALCOHOL,ALCOHOL,,536-60-7,,,28591566
164812,CUMINIC ALDEHYDE,ALDEHYDE,,122-03-2,,,21106431
659576,CUMINIC NITRILE,NITRILE,,13816-33-6,,,226782
103303,CYCLABUTE,ESTER,,67634-20-2,68039-39-4,,96077
130935,CYCLAMEN ALDEHYDE,ALDEHYDE,,103-95-7,,,451801
903737,CYCLEMAX,ALDEHYDE,,7775-00-0,,,56405
131325,DIBUTYL SULFIDE,ETHER,,544-40-1,,,10536
660556,DIHYDRO ANETHOLE,ETHER,,104-45-0,,,13850344
