"","Material","Name..global...english","Chemical.group","Phase","CAS.no._1","CAS.no._2","CAS.no._3"
"52",105497,"BENZYL PHENYLACETATE","ESTER","","102-16-9",NA,NA
"53",660408,"BENZYL SALICYLATE","ESTER","","118-58-1",NA,NA
"54",601764,"BETA NAPTHYL ISO BUTYL ETHER","ETHER","S","2173-57-1",NA,NA
"55",106105,"BIGARADE OXIDE","ETHER","","72429-08-4",NA,NA
"56",195832,"BOISIRIS","ETHER","","68845-00-1",NA,NA
"57",129858,"BORNAFIX","ALCOHOL","","128119-70-0",NA,NA
"58",130138,"BORNYL ACETATE L CRYST.","ESTER","","5655-61-8",NA,NA
"59",690997,"BORONAL","ALDEHYDE","","3155-71-3",NA,NA
"60",131249,"BOURGEONAL","ALDEHYDE","","18127-01-0",NA,NA
"61",195583,"BUCCOXIME¨","OXIME","","75147-23-8",NA,NA
"62",130149,"BUTYL ACETATE","ESTER","","123-86-4",NA,NA
"63",131339,"BUTYL BUTYRYL LACTATE","ESTER","","7492-70-8",NA,NA
"64",164709,"BUTYL CYCLOHEXANOL PARA-TERT.","ALCOHOL","S","98-52-2",NA,NA
"65",104625,"BUTYL CYCLOHEXANON PARA-TERT.","KETONE","S","98-53-3",NA,NA
"66",197017,"BUTYL QUINOLINE-6-SEC.(PYRALONE)","HETEROCYCLIC","","65442-31-1",NA,NA
"67",131437,"CALONE","KETONE","S","28940-11-6",NA,NA
"68",164178,"CAMPHENE","HYDROCARBON","S","79-92-5",NA,NA
"69",130465,"CAMPHOR DL","KETONE","S","76-22-2",NA,NA
"70",904679,"CAMPHOR DL FG (ORAL CARE & FRA USE ONLY)","KETONE","S","76-22-2",NA,NA
"71",131501,"CANTHOXAL","ALDEHYDE","","5462-06-6",NA,NA
"72",100205,"CANTRYL¨","NITRILE","","15373-31-6",NA,NA
"73",660534,"CARVACROL","PHENOL","","499-75-2",NA,NA
"74",106811,"CARVONE D NAT.","KETONE","","2244-16-8",NA,NA
"75",130178,"CARVONE L","KETONE","","6485-40-1",NA,NA
"76",611499,"CARYOPHYLLENE ACETATE","ESTER","","57082-24-3",NA,NA
"77",690012,"CARYOPHYLLENE NAT. RECT.","HYDROCARBON","","87-44-5",NA,NA
"78",198024,"CASHMERAN","KETONE","S","33704-61-9",NA,NA
"79",658615,"CASSIONE","KETONE","S","55418-52-5",NA,NA
"80",131288,"CEDRAMBER","ETHER","","19870-74-7",NA,NA
"81",130188,"CEDROL CRIST.","ALCOHOL","S","77-53-2",NA,NA
"82",197011,"CEDROXID","ETHER","","71735-79-0",NA,NA
"83",131278,"CEDRYL ACETATE","ESTER","","77-54-3",NA,NA
"84",130185,"CEDRYL ACETATE CRYST.","ESTER","S","77-54-3",NA,NA
"85",105655,"CETALOX","ETHER","S","3738-00-9",NA,NA
"86",105253,"CETONAL","ALDEHYDE","","65405-84-7",NA,NA
"87",103631,"CETONE ALPHA","KETONE","","127-51-5",NA,NA
"88",600144,"CHRYSANTHEME","KETONE","","69929-17-5",NA,NA
"89",600474,"CINAROL","ALCOHOL","","1504-55-8",NA,NA
"90",654060,"CINNAMIC ALCOHOL","ALCOHOL","S","104-54-1",NA,NA
"91",654040,"CINNAMIC ALDEHYDE","ALDEHYDE","","104-55-2",NA,NA
"92",611105,"CINNAMYL ACETATE","ESTER","","103-54-8",NA,NA
"93",103394,"CINNAMYL ISOBUTYRATE","ESTER","","103-59-3",NA,NA
"94",131345,"CINNAMYL NITRILE","NITRILE","","1885-38-7",NA,NA
"95",658620,"CISTULATE 09126","ESTER","","52557-97-8",NA,NA
"96",157503,"CITRAL 95","ALDEHYDE","","5392-40-5",NA,NA
"97",690127,"CITRAL DIETHYL ACETAL","ACETAL","","7492-66-2",NA,NA
"98",164229,"CITRIC ACID MONOHYDRATE MSF","ACID","S","5949-29-1","77-92-9",NA
"99",601344,"CITRONELLAL NAT. SUPRA","ALDEHYDE","","106-23-0",NA,NA
"100",188285,"CITRONELLAL SYNTH.","ALDEHYDE","","106-23-0",NA,NA
"101",106184,"CITRONELLOL 950","ALCOHOL","","106-22-9",NA,NA
"102",106216,"CITRONELLYL ACETATE EXTRA","ESTER","","150-84-5",NA,NA
"103",103596,"CITRONELLYL BUTYRATE","ESTER","","141-16-2",NA,NA
"104",103597,"CITRONELLYL FORMATE","ESTER","","105-85-1",NA,NA
"105",131120,"CITRONELLYL ISOBUTYRATE","ESTER","","97-89-2",NA,NA
"106",103598,"CITRONELLYL PROPIONATE","ESTER","","141-14-0",NA,NA
"107",104083,"CITRONELLYL TIGLATE","ESTER","","24717-85-9",NA,NA
"108",611455,"CITRONITRILE","NITRILE","","53243-59-7","53243-60-0","93893-89-1"
"109",103593,"CITROWANIL¨ B","NITRILE","","97384-48-0",NA,NA
"110",690980,"CITRYLAL","ACETAL","","147060-73-9","90480-35-6",NA
"111",103080,"CIVETONE","KETONE","S","542-46-1",NA,NA
"112",600285,"CLARITONE¨","KETONE","","74338-72-0",NA,NA
"113",198046,"CLONAL","NITRILE","","2437-25-4",NA,NA
"114",105136,"CORPS EGLANTINE","ETHER","","64988-06-3",NA,NA
"115",600164,"CORPS RACINE","HETEROCYCLIC","","2110-18-1",NA,NA
"116",130217,"COUMARIN","LACTONE","S","91-64-5",NA,NA
"117",600303,"COUMARONE","KETONE","S","1646-26-0",NA,NA
"118",104087,"CRESYL ACETATE PARA","ESTER","","140-39-6",NA,NA
