Material,Name,Chemical.group,Phase,CAS,CASNO2,CASNO3,CID,csid
131278,CEDRYL ACETATE,ESTER,,77-54-3,,,54146524,209770
130185,CEDRYL ACETATE CRYST.,ESTER,S,77-54-3,,,54146524,209770
105655,CETALOX,ETHER,S,3738-00-9,,,10857465,9032756
105253,CETONAL,ALDEHYDE,,65405-84-7,,,579157,503408
103631,CETONE ALPHA,KETONE,,127-51-5,,,5372174,4522510
600144,CHRYSANTHEME,KETONE,,69929-17-5,,,112185,100566
600474,CINAROL,ALCOHOL,,1504-55-8,,,5369489,4575656
654060,CINNAMIC ALCOHOL,ALCOHOL,S,104-54-1,,,5315892,21105870
654040,CINNAMIC ALDEHYDE,ALDEHYDE,,104-55-2,,,637511,553117
611105,CINNAMYL ACETATE,ESTER,,103-54-8,,,5282110,7377
103394,CINNAMYL ISOBUTYRATE,ESTER,,103-59-3,,,5355851,4511740
131345,CINNAMYL NITRILE,NITRILE,,1885-38-7,,,1550846,1267328
658620,CISTULATE 09126,ESTER,,52557-97-8,,,55250360,32814825
157503,CITRAL 95,ALDEHYDE,,5392-40-5,,,638011,553578
690127,CITRAL DIETHYL ACETAL,ACETAL,,7492-66-2,,,5365794,4517739
164229,CITRIC ACID MONOHYDRATE MSF,ACID,S,5949-29-1,77-92-9,,22230,20872
601344,CITRONELLAL NAT. SUPRA,ALDEHYDE,,106-23-0,,,7794,67959
188285,CITRONELLAL SYNTH.,ALDEHYDE,,106-23-0,,,7794,67959
106184,CITRONELLOL 950,ALCOHOL,,106-22-9,,,8842,13850135
106216,CITRONELLYL ACETATE EXTRA,ESTER,,150-84-5,,,9017,8667
103596,CITRONELLYL BUTYRATE,ESTER,,141-16-2,,,8835,8503
103597,CITRONELLYL FORMATE,ESTER,,105-85-1,,,7778,21427416
131120,CITRONELLYL ISOBUTYRATE,ESTER,,97-89-2,,,60985,54946
103598,CITRONELLYL PROPIONATE,ESTER,,141-14-0,,,8834,8502
104083,CITRONELLYL TIGLATE,ESTER,,24717-85-9,,,6386037,81794
611455,CITRONITRILE,NITRILE,,53243-59-7,53243-60-0,93893-89-1,1381163,1154998
103593,CITROWANILÎ B,NITRILE,,97384-48-0,,,5463804,4576366
690980,CITRYLAL,ACETAL,,147060-73-9,90480-35-6,,638011,8511
103080,CIVETONE,KETONE,S,542-46-1,,,15020070,4475121
600285,CLARITONEÎ,KETONE,,74338-72-0,,,9815427,7991177
198046,CLONAL,NITRILE,,2437-25-4,,,17092,16177
105136,CORPS EGLANTINE,ETHER,,64988-06-3,,,105179,94884
600164,CORPS RACINE,HETEROCYCLIC,,2110-18-1,,,459494,404399
130217,COUMARIN,LACTONE,S,91-64-5,,,323,13848793
600303,COUMARONE,KETONE,S,1646-26-0,,,15435,14690
104087,CRESYL ACETATE PARA,ESTER,,140-39-6,,,8797,21106001
104088,CRESYL CAPRYLATE PARA,ESTER,,59558-23-5,,,43046,39230
198026,CRESYL ISOBUTYRATE PARA,ESTER,,103-93-5,,,7685,7401
613754,CRESYL METHYL ETHER P(CR<10 PPM),ETHER,,104-93-8,,,7731,13865438
660314,CRESYL METHYL ETHER PARA,ETHER,,104-93-8,,,7731,13865438
131022,CRESYL PHENYL ACETATE PARA,ESTER,S,101-94-0,,,60997,54958
131180,CUMINIC ALCOHOL,ALCOHOL,,536-60-7,,,325,21105932
164812,CUMINIC ALDEHYDE,ALDEHYDE,,122-03-2,,,326,21106431
659576,CUMINIC NITRILE,NITRILE,,13816-33-6,,,26289,24493
103303,CYCLABUTE,ESTER,,67634-20-2,68039-39-4,,90474664,96077
130935,CYCLAMEN ALDEHYDE,ALDEHYDE,,103-95-7,,,517827,451801
903737,CYCLEMAX,ALDEHYDE,,7775-00-0,,,62654,56405
131325,DIBUTYL SULFIDE,ETHER,,544-40-1,,,11002,10536
660556,DIHYDRO ANETHOLE,ETHER,,104-45-0,,,7702,13850344
103574,DIHYDRO IONONE BETA,KETONE,,17283-81-7,,,519382,453036
130253,DIHYDRO JASMONE,KETONE,,1128-08-1,,,62378,56166
103011,DIHYDRO MYRCENOL,ALCOHOL,,18479-58-8,,,29096,27067
601343,DIHYDRO MYRCENYL ACETATE,ESTER,,53767-93-4,,,6432847,4938062
600515,DIHYDROAMBRETTOLIDE,LACTONE,S,109-29-5,,,7984,7695
131143,DIHYDROCARVYL ACETATE,ESTER,,20777-49-5,,,30248,28089
130941,DIMETHYL ANTHRANILATE EXTRA,ESTER,,85-91-6,,,6826,21108245
130255,DIMETHYL BENZYL CARBINOL,ALCOHOL,,100-86-7,,,7531,7250
130254,DIMETHYL BENZYL CARBINYL ACETATE,ESTER,,151-05-3,,,9024,8673
903930,DIMETHYL BENZYL CARBINYL ACETATE FG,ESTER,,151-05-3,,,9024,8673
903994,DIMETHYL BENZYL CARBINYL BUTYRAT FG,ESTER,,10094-34-5,,,24915,23294
104283,DIMETHYL BENZYL CARBINYL BUTYRATE,ESTER,,10094-34-5,,,24915,23294
131314,"DIMETHYL ETHYL PYRAZINE-3,5(6),2",HETEROCYCLIC,,27043-05-6,,,26334,24536
103067,DIMETHYL HYDROQUINONE,ETHER,S,150-78-7,,,9016,21105878
902804,DIMETHYL OCTENONE,KETONE,,2550-11-0,,,102844,92902
699708,DIOCTYL ADIPATE,ESTER,,103-23-1,,,7641,7358
658651,DIOLA,ETHER,,,,,78484,70849
104099,DIPHENYL METHANE,HYDROCARBON,,101-81-5,,,7580,7299
130273,DIPHENYL OXIDE,ETHER,,101-84-8,,,7583,7302
160102,DIPROPYLENE GLYCOL,ALCOHOL,,25265-71-8,,,32857,30445
657948,"DODECADIENAL 2,6",ALDEHYDE,,21662-13-5,,,6430759,4936098
130286,DODECALACTONE DELTA,LACTONE,,713-95-1,,,12844,12314
690750,DODECALACTONE GAMMA,LACTONE,,,,,16821,15940
131469,DODECENAL TRANS-2,ALDEHYDE,,20407-84-5,,,5283361,4446482
178583,DOWANOL DPM,ETHER,,34590-94-8,,,66984,60342
107231,DOWANOL TPM,ETHER,,25498-49-1,,,30111,27970
198072,DUPICAL,ALDEHYDE,,30168-23-1,,,90472417,4942777
100202,DYNASCONE,KETONE,,56973-85-4,,,92606,83599
105703,EBANOL,ALCOHOL,,67801-20-1,,,118856007,21162396
103853,ELINTAL FORTE,ACETAL,,40910-49-4,,,162027,142303
130298,ETHYL ACETATE,ESTER,,141-78-6,,,8857,8525
164019,ETHYL ACETOACETATE,ESTER,,141-97-9,,,8868,13865426
105384,ETHYL BENZOYL ACETATE,ESTER,,94-02-0,,,7170,6902
660448,ETHYL CINNAMATE,ESTER,,103-36-6,,,637758,553344
131245,"ETHYL DECADIENOATE TRANS CIS-2,4",ESTER,,3025-30-7,,,5281162,4444602
131130,ETHYL ISOBUTYRATE,ESTER,,97-62-1,,,7342,7065
130601,ETHYL LACTATE,ESTER,,97-64-3,,,7344,13837423
104760,ETHYL LAURATE,ESTER,,106-33-2,,,7800,7512
131323,ETHYL LINALOOL,ALCOHOL,,10339-55-6,,,175211,152723
105874,ETHYL LINALYL ACETATE,ESTER,,61931-80-4,,,62321,56116
131471,ETHYL LINOLEATE,ESTER,,544-35-4,,,5282184,4445379
116165,ETHYL MALTOL,KETONE,S,,,,21059,19804
611402,ETHYL METHYL BUTYRATE-2,ESTER,,7452-79-1,,,24020,22453
105951,ETHYL PHENYL ACETATE,ESTER,,101-97-3,,,7590,13885245
103250,ETHYL PROPIONATE,ESTER,,105-37-3,,,7749,7463
131421,ETHYL RICINOLEATE,ESTER,,55066-53-0,,,92281379,29355624
105543,ETHYL SALICYLATE,ESTER,,118-61-6,,,8365,21105897
130141,ETHYL VANILLIN,ALDEHYDE,S,121-32-4,,,8467,8154
130966,ETHYLENE BRASSYLATE,ESTER,,105-95-3,,,61014,54974
608025,EUGENOL NAT.,PHENOL,,97-53-0,,,3314,13876103
131135,EUGENYL ACETATE,ESTER,,93-28-7,,,7136,6869
131176,EVERNYL,ESTER,S,4707-47-5,,,78435,70804
101800,EXALTENONE 942008,KETONE,S,14595-54-1,35720-57-1,,6365389,4896164
120648,EXOVERT HIGH IMPACT,ESTER,,37172-53-5,,,162249,142479
656019,FARENALÎ,ALDEHYDE,,141-13-9,,,98403,88859
130329,FARNESOL,ALCOHOL,,4602-84-0,,,445070,392816
131317,FENCHOL,ALCOHOL,S,1632-73-1,,,6997371,14665
130337,FENCHYL ACETATE,ESTER,,13851-11-1,,,61696,55599
690986,FILBERTONE,KETONE,,81925-81-7,,,5362588,451771
100188,FLEURANIL,NITRILE,,134123-93-6,,,164355,144100
643592,FLORAL SUPER,ALDEHYDE,,71077-31-1,,,116736,21168193
106597,FLORHYDRAL,ALDEHYDE,,125109-85-5,,,83829590,77763
690307,FLOROPAL,ACETAL,,5182-36-5,,,107381,96644
103519,FLOROSA,ALCOHOL,,63500-71-0,,,3017432,2285174
903971,FLOROSA BM / PYRANOL,ALCOHOL,,63500-71-0,,,3017432,2285174
103822,FRAGOLANEÎ,ESTER,,6290-17-1,,,95392,86088
131479,FRAMBINONÎ METHYL ETHER,KETONE,,104-20-1,,,61007,54968
103208,FREESIOL / CORPS 119,ALCOHOL,,13254-34-7,,,83268,75130
600165,FRESCOLATÎ MGA,ACETAL,,63187-91-7,,,9964606,8140199
131156,FRESCOMENTHE,KETONE,,14765-30-1,,,61771,55659
639794,FRUCTATE,ESTER,,155514-23-1,,,,
106156,FRUITATE,ESTER,,129520-41-8,80623-07-0,80657-64-3,157342,138471
611400,FRUTINAT,ESTER,,35206-51-0,,,6440993,4945224
172379,FRUTONILE,NITRILE,,69300-15-8,,,3017923,2285556
600291,FURAMINTON/TONKALACTONE,LACTONE,,65817-24-5,,,9793908,7969675
131225,FURANEOL,ALCOHOL,S,3658-77-3,,,19309,18218
130354,FURFURYL MERCAPTAN,ESTER,,98-02-2,,,7363,7085
659519,FURFURYL PYRROLE,HETEROCYCLIC,,1438-94-4,,,15037,14312
197635,GALBASCONE,KETONE,,56973-85-4,,,92606,83599
105864,GARDAMIDE,AMIDE,,84434-18-4,,,163414,143374
103908,GERANIOL SUPER,ALCOHOL,,106-24-1,,,637566,13849989
106215,GERANYL ACETATE PURE,ESTER,,105-87-3,,,1549026,1266019
104269,GERANYL ACETONE SYNTH.,KETONE,,3796-70-1,,,1549778,1266569
103599,GERANYL BUTYRATE,ESTER,,106-29-6,,,5355856,4511745
105471,GERANYL FORMATE,ESTER,,105-86-2,,,5282109,4445318
131112,GERANYL ISOBUTYRATE,ESTER,,2345-26-8,,,6086514,4803060
131131,GERANYL ISOVALERATE,ESTER,,109-20-6,,,5362830,4515295
601133,GERANYL METHYL ETHER,ETHER,,2565-82-4,,,5365849,4517792
103600,GERANYL PHENYLACETATE,ESTER,,102-22-7,,,5366044,4517973
131093,GERANYL PROPIONATE,ESTER,,105-90-8,,,5355853,4511742
103203,GERANYL TIGLATE,ESTER,,7785-33-3,,,5367785,4519264
103117,GIVESCONE,ESTER,,57934-97-1,77851-07-1,,93847,84706
106114,GLOBALIDEÎ,LACTONE,,111879-80-2,34902-57-3,,9856149,8031849
600317,GLOBANONEÎ,KETONE,S,3100-36-5,,,6365152,4895976
199083,GLYCOLIERRAL,ACETAL,,68901-32-6,,,102602476,99972
199085,GRISALVA,ETHER,,68611-23-4,90411-73-7,,90474858,52563591
131059,GUAIYL ACETATE,ESTER,,61789-17-1,94333-88-7,,240122,55033
