Material,Name,Chemical.group,Phase,CAS,CASNO2,CASNO3,CID,csid
638261,"OCTENOL-1,3",ALCOHOL,,3391-86-4,,,18827,17778
131274,"OCTENYL ACETATE-1,3",ESTER,,,,,17121,16205
611469,OCTYL ACETATE-3 NAT.,ESTER,,4864-61-3,,,521238,454668
131308,OCTYL BUTYRATE,ESTER,,110-39-4,,,61030,54989
107085,OKOUMAL,ETHER,,131812-67-4,,,3034278,2298767
198064,ORANGE FLOWER ETHER,ETHER,,14576-08-0,,,85755,77346
197014,ORCINOL MONOMETHYL ETHER,PHENOL,S,3209-13-0,,,76674,69135
131227,ORIVONE,KETONE,,16587-71-6,,,27941,25994
103451,ORYCLON@ HC,ESTER,,32210-23-4,,,36081,33188
103260,OXYOCTALINE FORMATE,ESTER,,65405-72-3,,,103377,93344
611471,OZONIL,NITRILE,,22629-49-8,,,90818,5020973
690230,PALISANDAL,ACETAL,,950-33-4,,,70368,63549
690165,PALISANDIN,ETHER,,2986-54-1,,,76334,68811
100210,PARMANYLÎ,NITRILE,,142653-61-0,,,15031854,23349752
600300,PASSIFLORAN,KETONE,,136954-25-1,,,2733977,2015739
164637,PELARGONIC ACID,ACID,,112-05-0,,,8158,7866
130058,"PENTANDIONE-2,3",KETONE,,600-14-6,,,11747,11254
107343,PEONILE,NITRILE,,10461-98-0,,,66327,59705
179339,PERANAT,ESTER,,90397-38-9,,,163588,143492
179349,PETIOLE,ETHER,,68039-47-4,,,106442,95833
698337,PHELLANDREN FRACTION EX EUCALYPTUS OIL,HYDROCARBON,,4221-98-1,,,442482,390915
105991,PHENIRAT,ESTER,,103-60-6,,,61005,7372
198070,PHENOXANOL,ALCOHOL,,55066-48-3,,,108312,97376
130089,PHENOXYETHYL ALCOHOL,ALCOHOL,,122-99-6,,,31236,13848467
660354,PHENYLACETALDEHYDE,ALDEHYDE,,122-78-1,,,998,13876539
660345,PHENYLACETALDEHYDE DIMETHYL ACETAL,ACETAL,,101-48-4,,,60995,13876435
600028,PHENYLACETALDEHYDE GLYCERYLACETAL,ACETAL,,29895-73-6,,,21895,20580
621268,PHENYLACETIC ACID,ACID,S,103-82-2,,,999,10181341
130744,PHENYLETHYL ALCOHOL,ALCOHOL,,60-12-8,,,6054,5830
103392,PHENYLETHYL BUTYRATE,ESTER,,103-52-6,,,7658,7375
660361,PHENYLETHYL CINNAMATE CRYST.,ESTER,S,103-53-7,,,5369459,7376
103258,PHENYLETHYL DIMETHYL CARBINOL,ALCOHOL,,103-05-9,,,7632,7350
103614,PHENYLETHYL FORMATE,ESTER,,104-62-1,,,7711,7425
103934,PHENYLETHYL ISOBUTYRATE,ESTER,,103-48-0,,,7655,7372
131090,PHENYLETHYL ISOTHIOCYANATE,ESTER,,,,,16741,15870
103935,PHENYLETHYL ISOVALERATE,ESTER,,140-26-1,,,8792,8462
103222,PHENYLETHYL METHYL ETHER,ETHER,,3558-60-9,,,19089,18022
103936,PHENYLETHYL PHENYLACETATE,ESTER,,102-20-5,,,7601,7319
658982,PHENYLETHYL SALICYLATE,ESTER,S,87-22-9,,,62332,56124
660165,PHENYLPROPYL ALCOHOL,ALCOHOL,,122-97-4,,,31234,13871718
130412,PHENYLPROPYL ALDEHYDE,ALDEHYDE,,104-53-0,,,7707,7421
160223,PINENE ALPHA LAEVO NAT.,HYDROCARBON,,80-56-8,,,6654,6402
130122,PINENE BETA NAT.,HYDROCARBON,,127-91-3,,,440967,389794
103237,PINOACET ALDEHYDE,ALDEHYDE,,33885-51-7,,,55220049,29366461
103374,PLICATONE,KETONE,,41724-19-0,,,162481,142661
659616,POIVROL,ESTER,,68966-86-9,,,55250799,32815755
106142,POLYSANTOL,ALCOHOL,,107898-54-4,,,15984303,23349145
904691,POLYSANTOL (MYSANTOL),ALCOHOL,,107898-54-4,,,15984303,23349145
103843,PRECYCLEMONE B,ALDEHYDE,,52474-60-9,52475-86-2,,95596,86289
601331,PRENYL ACETATE,ESTER,,1191-16-8,,,14489,13834
103483,PRENYL SALICYLATE,ESTER,,68555-58-8,,,50216,45536
656079,PROFARNESAL,ALDEHYDE,,54082-68-7,,,6538156,82271
660137,PROJASMONE P,KETONE,,137-03-1,,,8710,8386
131115,PROPENYL GUAETHOL,PHENOL,S,94-86-0,,,5354280,54943
131301,PROPYL ACETATE,ESTER,,109-60-4,,,7997,7706
160221,"PROPYLENE GLYCOL-1,2",ALCOHOL,,57-55-6,,,1030,13835224
611421,PYROPRUNAT,ESTER,,68039-73-6,,,6437291,4941861
198028,RESEDA BODY,ACETAL,,67633-94-7,,,95266,85964
690520,RESEDAFOL,ACETAL,,7493-57-4,,,61403,55332
658742,RESEDYLACETAL,ACETAL,,10022-28-3,,,61431,55356
106108,RHOLIATE,ESTER,,93981-50-1,,,262372,230409
198039,RHUBOFIX,ETHER,,41816-03-9,,,94522,85298
907625,ROMANDOLIDE,ESTER,,236391-76-7,,,21933618,10688094
100060,ROMASCONE,ESTER,,81752-87-6,,,11095260,9270402
130770,ROSACETATE,ESTER,S,90-17-5,,,7007,6741
600064,ROSAPHENÎ,ALCOHOL,,25634-93-9,,,5463791,4576354
106268,ROSE OXIDE HIGH CIS,ETHER,,16409-43-1,,,27866,25927
130780,ROSE OXIDE L,ETHER,,16409-43-1,,,27866,25927
107077,ROSYRANE SUPER,ETHER,,60335-71-9,,,108443,97501
621361,SAFRALEINE,KETONE,,54440-17-4,,,10149036,8324544
165208,SAFRANAL,ALDEHYDE,,116-26-7,,,61041,55000
107396,SAGECETE,ESTER,,131766-73-9,,,57483300,23349556
105188,SANDAL MYSORE CORE,ALCOHOL,,28219-60-5,,,6438195,4942686
131502,SANDALORE,ALCOHOL,,65113-99-7,,,103212,93216
600001,SANDRANOLÎ,ALCOHOL,,28219-61-6,,,6438196,4942687
172313,SANJINOL,ALCOHOL,,28219-61-6,,,6438196,4942687
104316,SCENTENAL,ALDEHYDE,,86803-90-9,,,55250380,143443
100199,SILVIAL,ALDEHYDE,,6658-48-6,,,110914,99560
684804,SPIROGALBANONE PURE,KETONE,,224031-70-3,224031-71-4,,15405344,13694751
131157,STEMONE,OXIME,,22457-23-4,,,6180775,4905502
611357,STYRALYL ACETATE,ESTER,,93-92-5,,,62341,56133
903938,STYRALYL ACETATE FG,ESTER,,93-92-5,,,62341,56133
660414,STYRALYL ALCOHOL,ALCOHOL,,98-85-1,,,7409,7131
611467,STYRALYL PROPIONATE,ESTER,,120-45-6,,,8432,8125
131449,SULFUROL,HETEROCYCLIC,,137-00-8,,,1136,1104
100072,SULTANENEÎ,ESTER,,15848-49-4,,,10877336,9052605
902958,SYMFRESHÎ NX,ESTER,,25265-77-4,,,6490,6245
148469,SYMROSEÎ,ALCOHOL,,830322-14-0,,,18356807,13536001
109818,SYMROXANE,ACETAL,,393517-28-7,393517-29-8,676125-00-1,71361377,23351035
104312,SYVERTAL,ACETAL,,4359-47-1,,,107271,96538
103229,TABANON,KETONE,,13215-88-8,163440-97-9,,18645216,18661975
659672,TABANON COEUR,KETONE,,13215-88-8,163440-97-9,,18645216,18661975
195795,TANGERINOL,ESTER,,3239-35-8,,,5752319,4680697
131002,TERPINENE GAMMA,HYDROCARBON,,99-85-4,,,7461,7181
600044,TERPINEOL  RECT.,ALCOHOL,,8000-41-7,,,17100,13850142
130817,TERPINEOL ALPHA,ALCOHOL,,98-55-5,,,17100,13850142
130813,TERPINEOL PURE,ALCOHOL,,8000-41-7,,,17100,13850142
660425,TERPINOLENE,HYDROCARBON,,586-62-9,,,11463,10979
130837,TERPINYL ACETATE,ESTER,,8007-35-0,,,111037,99681
600035,TERRANOLÎ,ALCOHOL,S,57566-26-4,88644-30-8,,1753956,1386337
130752,TETRAHYDRO CITRAL,ALDEHYDE,,5988-91-0,,,110747,99401
130990,TETRAHYDRO LINALOOL,ALCOHOL,,78-69-3,,,6548,6300
105480,TETRAHYDRO LINALYL ACETATE,ESTER,,20780-48-7,,,89385,80665
131098,TETRAHYDRO METHYL QUINOLINE PARA,AMINE,,91-61-2,,,66678,60044
107617,TETRAHYDRO MYRCENOL,ALCOHOL,,18479-57-7,,,86751,78251
106217,TETRAHYDROGERANIOL,ALCOHOL,,106-21-8,,,7792,7504
131525,"TETRAMETHYL PYRAZINE-2,3,5,6",HETEROCYCLIC,S,1124-11-4,,,14296,13658
131431,"THIOMENTHANONE-8,3",KETONE,,38462-22-5,,,61982,55833
162075,TOLYLALDEHYDE PARA FG,ALDEHYDE,,104-87-0,,,7725,13865424
600745,TOSCANOL,ETHER,,16510-27-3,,,6422476,4927987
104304,TRIDECEN NITRILE-2,NITRILE,,22629-49-8,,,90818,5020973
131224,TRIDECENAL TRANS-2,ALDEHYDE,,7774-82-5,,,5283363,4446484
104325,TRIFERNAL,ALDEHYDE,,16251-77-7,,,85979,77560
131382,TRIMOFIX O,KETONE,,144020-22-4,,,6504821,5005005
964390,TRIMOFIX O BM,KETONE,,144020-22-4,,,6504821,5005005
182461,UNDECALACTONE DELTA,LACTONE,,710-04-3,,,61204,9610216
131375,UNDECENAL TRANS-2,ALDEHYDE,,2463-77-6,53448-07-0,,5283356,7894
130878,UNDECYLENIC ALCOHOL,ALCOHOL,,112-43-6,,,8185,7893
113552,VALEROLACTONE GAMMA,LACTONE,,108-29-2,,,7921,7633
131423,VELOUTONE,KETONE,,65443-14-3,,,103402,93360
195933,VELVIONE,KETONE,,37609-25-9,,,5362736,4515216
105656,AMYL SALICYLATE,ESTER,,,,,16299,15465
699713,ARCOSOLVE DPMA GLYCO ETHER,ether,,88917-22-0,,,3035467,2299699
195564,AURANTIOL,SCHIFF-BASE,,89-43-0,,,98118,88590
660554,CARENE DELTA-3 NAT.,HYDROCARBON,,13466-78-9,,,26049,24263
659577,"CINEOL 1,4",ETHER,,,,,46781028,23976355
198031,CORTEX ALDEHYDE 50,ALDEHYDE,,2120-70-9,,,75033,67586
131228,DIHYDRO TERPINEOL,ALCOHOL,,498-81-7,,,10353,9926
130265,DIPENTENE,HYDROCARBON,,138-86-3,,,22311,20939
103383,ETHYL SAFRANATE,ESTER,,35044-59-8,,,118201,105633
197016,FLORALOZONE,ALDEHYDE,,67634-15-5,,,105513,95151
100360,FLORAZON,ALDEHYDE,,,,,,
105562,GALBANOLENE SUPER,HYDROCARBON,,16356-11-9,,,5367412,55707
170044,GERANIOL 60,ALCOHOL,,106-24-1,,,637566,4303
903290,GERANIOL 60 B,ALCOHOL,,106-24-1,,,637566,4303
103161,ISOJASMONE,KETONE,,11050-62-7,,,6435841,4940533
620107,ISOMENTHONE,KETONE,S,36977-92-1,,,6432469,4937714
130969,OCIMENE,HYDROCARBON,,3338-55-4,,,5320250,4478390
103944,TERPINOLENE DAK,HYDROCARBON,,586-62-9,,,11463,10979
103849,TETRAHYDRO MUGUOL,ALCOHOL,,18479-54-4,,,6537988,5020894
130706,TOLYL ACETALDEHYDE PARA 50% DPG,ALDEHYDE,,,,,12161641,21169769
