AKOS smile,CID,CanonicalSMILES,density g/cm3,MW,AKOS,weight (g),stored
CCOC(=O)c1cccc(c1)C1CCCC(=O)C1,15475145,CCOC(=O)C1=CC(=CC=C1)C2CCCC(=O)C2,,246.306,AKOS016019476,,
CCOC(=O)c1cccc(c1)CCC(=C)C,14812184,CCOC(=O)C1=CC(=CC=C1)CCC(=C)C,,218.296,AKOS016016783,,
CCOC(=O)c1cccc(c1)F,67975,CCOC(=O)C1=CC(=CC=C1)F,,168.167,AKOS007930445,,
CCOC(=O)c1cccc(c1C)C,22448154,CCOC(=O)C1=C(C(=CC=C1)C)C,,178.231,AKOS008947842,,
CCOC(=O)c1cccc2c1CCCC2,11790328,CCOC(=O)C1=C2CCCCC2=CC=C1,,204.269,AKOS022173807,,
CCOC(=O)c1ccccc1C(=O)C,2799640,CCOC(=O)C1=CC=CC=C1C(=O)C,,192.214,AKOS005070770,,
CCOC(=O)c1ccccc1C(=O)OCC,6781,CCOC(=O)C1=CC=CC=C1C(=O)OCC,1.12,222.24,AKOS000119867,,
CCOC(=O)c1ccccc1C=O,10943020,CCOC(=O)C1=CC=CC=C1C=O,,178.187,AKOS006242421,,
CCOC(=O)c1ccccc1c1ccccc1C(=O)OCC,13793399,CCOC(=O)C1=CC=CC=C1C2=CC=CC=C2C(=O)OCC,,298.338,AKOS016017263,,
CCOC(=O)c1ccccc1CCC(=C)C,24721799,CCOC(=O)C1=CC=CC=C1CCC(=C)C,,218.296,AKOS016016780,,
CCOC(=O)c1ccccc1F,67953,CCOC(=O)C1=CC=CC=C1F,,168.167,AKOS008948024,,
CCOC(=O)CC1CCC(=O)CC1,12666966,CCOC(=O)CC1CCC(=O)CC1,,184.235,AKOS006307852,,
CCOC(=O)CC1CCCC1,247667,CCOC(=O)CC1CCCC1,,156.225,AKOS008947756,,
CCOC(=O)CC1CCCCCC1,14322005,CCOC(=O)CC1CCCCCC1,,184.279,AKOS015840844,,
CCOC(=O)CC1CCCCCCCCCCC1,17750637,CCOC(=O)CC1CCCCCCCCCCC1,,254.414,AKOS024264069,,
CCOC(=O)CCC(CCC(=O)OCC)F,28306167,CCOC(=O)CCC(CCC(=O)OCC)F,,234.267,AKOS005254800,,
CCOC(=O)CCCC(=O)CC,12487640,CCC(=O)CCCC(=O)OCC,,172.224,AKOS006278162,,
CCOC(=O)CCCCC(=O)C(C)C,12007529,CCOC(=O)CCCCC(=O)C(C)C,,200.278,AKOS016022954,,
CCOC(=O)CCCCC(=O)C1CC1,24727443,CCOC(=O)CCCCC(=O)C1CC1,,198.262,AKOS006278161,,
CCOC(=O)CCCCC(=O)C1CCC1,24727438,CCOC(=O)CCCCC(=O)C1CCC1,,212.289,AKOS016023052,,
CCOC(=O)CCCCC(=O)C1CCCCC1,11770572,CCOC(=O)CCCCC(=O)C1CCCCC1,,240.343,AKOS016023189,,
CCOC(=O)CCCCC(=O)CC,282994,CCC(=O)CCCCC(=O)OCC,,186.251,AKOS006278411,,
CCOC(=O)CCCCC(=O)CC(=O)OCC,14006760,CCOC(=O)CCCCC(=O)CC(=O)OCC,,244.287,AKOS025403211,,
CCOC(=O)CCCCC1CC(=O)C1,70700488,CCOC(=O)CCCCC1CC(=O)C1,,198.262,AKOS016004162,,
CCOC(=O)CCCCCC(=O)C(C)(C)C,24727447,CCOC(=O)CCCCCC(=O)C(C)(C)C,,228.332,AKOS016023082,,
CCOC(=O)CCCCCC(=O)C1CC1,24727444,CCOC(=O)CCCCCC(=O)C1CC1,,212.289,AKOS016023071,,
CCOC(=O)CCCCCC(=O)C1CCC1,24727439,CCOC(=O)CCCCCC(=O)C1CCC1,,226.316,AKOS016023061,,
CCOC(=O)CCCCCC(=O)C1CCCC1,24727434,CCOC(=O)CCCCCC(=O)C1CCCC1,,240.343,AKOS016023050,,
CCOC(=O)CCCCCC(=O)CC(=O)OCC,14006762,CCOC(=O)CCCCCC(=O)CC(=O)OCC,,258.314,AKOS025402912,,
CCOC(=O)CCCCCC(=O)O,118383,CCOC(=O)CCCCCC(=O)O,,188.223,AKOS006228602,,
CCOC(=O)CCCCCCC(=O)CC,24727450,CCC(=O)CCCCCCC(=O)OCC,,214.305,AKOS016023092,,
CCOC(=O)CCCCCCC(=O)CC(=O)OCC,14006763,CCOC(=O)CCCCCCC(=O)CC(=O)OCC,,272.341,AKOS025402964,,
CCOC(=O)CCCCCCCC(=O)CC(=O)OCC,14006764,CCOC(=O)CCCCCCCC(=O)CC(=O)OCC,,286.368,AKOS025402820,,
CCOCCCCCC(=O)O,23190866,CCOCCCCCC(=O)O,,160.213,AKOS013620056,,
ClCCOC(=O)c1ccccc1,95952,C1=CC=C(C=C1)C(=O)OCCCl,,184.619,AKOS005198580,,
COC(=O)/C=C/c1ccc(cc1)C(=O)OC,5375161,COC(=O)C=CC1=CC=C(C=C1)C(=O)OC,,220.224,AKOS008392074,,
COC(=O)/C=C/OC(=O)c1ccc(cc1)C,5910650,CC1=CC=C(C=C1)C(=O)OC=CC(=O)OC,,220.224,AKOS005093990,,
COC(=O)c1c(C)cccc1c1ccccc1,14663182,CC1=CC=CC(=C1C(=O)OC)C2=CC=CC=C2,,226.275,AKOS026674461,,
COC(=O)c1cc(C)cc(c1)C,32786,CC1=CC(=CC(=C1)C(=O)OC)C,,164.204,AKOS008904378,,
COC(=O)c1ccc(cc1)/C=C/C(=O)/C=C/c1ccc(cc1)C(=O)OC,14817491,COC(=O)C1=CC=C(C=C1)C=CC(=O)C=CC2=CC=C(C=C2)C(=O)OC,,350.37,AKOS016014783,,
COC(=O)c1ccc(cc1)/C=C/c1ccc(cc1)C(=O)OC,5378468,COC(=O)C1=CC=C(C=C1)C=CC2=CC=C(C=C2)C(=O)OC,,296.322,AKOS015840500,,
COC(=O)c1ccc(cc1)C(=O)c1ccc(cc1)C,182399,CC1=CC=C(C=C1)C(=O)C2=CC=C(C=C2)C(=O)OC,,254.285,AKOS016053162,,
COC(=O)c1ccc(cc1)c1ccc(cc1)C,170805,CC1=CC=C(C=C1)C2=CC=C(C=C2)C(=O)OC,,226.275,AKOS002679543,,
COC(=O)c1ccc(cc1)c1ccc(cc1)C(=O)OC,13099,COC(=O)C1=CC=C(C=C1)C2=CC=C(C=C2)C(=O)OC,,270.284,AKOS001588888,,
COC(=O)c1ccc(cc1)c1ccc(cc1)C=O,4321323,COC(=O)C1=CC=C(C=C1)C2=CC=C(C=C2)C=O,,240.258,AKOS004114082,,
COC(=O)c1ccc(cc1)c1cccc(c1)C,1393157,CC1=CC=CC(=C1)C2=CC=C(C=C2)C(=O)OC,,226.275,AKOS002678682,,
COC(=O)c1ccc(cc1)c1cccc(c1)C=O,4321386,COC(=O)C1=CC=C(C=C1)C2=CC(=CC=C2)C=O,,240.258,AKOS004114083,,
COC(=O)c1ccc(cc1)c1ccccc1C=O,4112125,COC(=O)C1=CC=C(C=C1)C2=CC=CC=C2C=O,,240.258,AKOS004113834,,
COC(=O)c1ccc(cc1)COC(=O)C,597147,CC(=O)OCC1=CC=C(C=C1)C(=O)OC,,208.213,AKOS022184211,,
COC(=O)c1ccc(cc1)F,67878,COC(=O)C1=CC=C(C=C1)F,,154.14,AKOS000295905,,
COC(=O)c1cccc(c1)c1ccc(cc1)C,1394187,CC1=CC=C(C=C1)C2=CC(=CC=C2)C(=O)OC,,226.275,AKOS002679583,,
COC(=O)c1cccc(c1)c1cccc(c1)C,1392448,CC1=CC=CC(=C1)C2=CC(=CC=C2)C(=O)OC,,226.275,AKOS002678385,,
COC(=O)c1ccccc1c1ccc(cc1)C,1393873,CC1=CC=C(C=C1)C2=CC=CC=C2C(=O)OC,,226.275,AKOS004114791,,
COC(=O)c1ccccc1c1ccc(cc1)C=O,4325150,COC(=O)C1=CC=CC=C1C2=CC=C(C=C2)C=O,,240.258,AKOS004113749,,
COC(=O)c1ccccc1c1cccc(c1)C,1392926,CC1=CC=CC(=C1)C2=CC=CC=C2C(=O)OC,,226.275,AKOS004114763,,
COC(=O)c1ccccc1c1ccccc1,9920766,COC(=O)C1=CC=CC=C1C2=CC=CC=C2,,212.248,AKOS005216884,,
COC(=O)c1ccccc1c1ccccc1C=O,329746,COC(=O)C1=CC=CC=C1C2=CC=CC=C2C=O,,240.258,AKOS004113810,,
COC(=O)c1ccccc1COCc1ccccc1C,46735277,CC1=CC=CC=C1COCC2=CC=CC=C2C(=O)OC,,270.328,AKOS025213694,,
COC(=O)c1ccccc1F,67854,COC(=O)C1=CC=CC=C1F,,154.14,AKOS001428541,,
COC(=O)CC1CCCCC1,139743,COC(=O)CC1CCCCC1,,156.225,AKOS008910111,,
COC(=O)CCCCC(=O)C,288022,CC(=O)CCCCC(=O)OC,,158.197,AKOS016005447,,
COC(=O)CCCCCC(=O)C(F)(F)F,57362757,COC(=O)CCCCCC(=O)C(F)(F)F,,226.195,AKOS025212060,,
COC(=O)CCCCCCCC(=O)O,75009,COC(=O)CCCCCCCC(=O)O,,202.25,AKOS003382269,,
COC(=O)CCCCCCCC(=O)OC,15612,COC(=O)CCCCCCCC(=O)OC,,216.277,AKOS015913922,,
COC/C=C(\CCC=C(C)C)/C,6436330,CC(=CCCC(=CCOC)C)C,,168.28,AKOS024463299,,
COCc1ccc(cc1)C(=O)OC,15247548,COCC1=CC=C(C=C1)C(=O)OC,,180.203,AKOS008954989,,
F[B-](c1ccc(cc1)C(=O)OCC)(F)F.[K+],46738073,[B-](C1=CC=C(C=C1)C(=O)OCC)(F)(F)F.[K+],,256.073,AKOS016339828,,
FCC(CCCCCCCCC(=O)OC)O,11831365,COC(=O)CCCCCCCCC(CF)O,,234.311,AKOS024263949,,
N#CC1(C)CC(O)CC(C1)(C)C,10583216,CC1(CC(CC(C1)(C)C#N)O)C,,167.252,AKOS026675742,,
N#Cc1ccc(cc1)C(=O)OCc1ccccc1,582534,C1=CC=C(C=C1)COC(=O)C2=CC=C(C=C2)C#N,,237.258,AKOS002474881,,
O[C@@H]1C[C@@H]2C[C@H]([C@]1(C)O)C2(C)C,10219606,CC1(C2CC1C(C(C2)O)(C)O)C,,170.252,AKOS005256255,,
O[C@@H]1CC[C@@H](CC1)C(C)(C)C,7391,CC(C)(C)C1CCC(CC1)O,,156.269,AKOS015837824,,
O[C@@H]1CC[C@@H](CC1)C1CCCCC1,75518,C1CCC(CC1)C2CCC(CC2)O,,182.307,AKOS016008874,,
O[C@@H]1CC[C@H](C=C1)O,7057958,C1CC(C=CC1O)O,,114.144,AKOS016010153,,
O[C@@H]1CC[C@H](CC1)C(C)(C)C,7391,CC(C)(C)C1CCC(CC1)O,,156.269,AKOS015837822,,
O[C@@H]1CCC=C([C@H]([C@H]1C)O)C,2755158,CC1C(CCC=C(C1O)C)O,,156.225,AKOS004902637,,
O[C@@H]1CCC=C[C@H](C1(C)C)O,2755159,CC1(C(CCC=CC1O)O)C,,156.225,AKOS004902645,,
O[C@@H]1CCC2([C@@H](C1)CCC1C2CCC2([C@H]1CC[C@]2(C)O)C)C,2748136,CC12CCC(CC1CCC3C2CCC4(C3CCC4(C)O)C)O,,306.49,AKOS004903650,,
O[C@@H]1CCC2(C(C1)(C)CCC1C2CCC2(C1C[C@](C2)(O)C(O)C)C)C,2748135,CC(C1(CC2C3CCC4(CC(CCC4(C3CCC2(C1)C)C)O)C)O)O,,350.543,AKOS004903649,,
O[C@@H]1CCC2(C(C1)(C)CCC1C2CCC2(C1CC[C@]2(O)C(O)C)C)C,2748166,CC(C1(CCC2C1(CCC3C2CCC4(C3(CCC(C4)O)C)C)C)O)O,,350.543,AKOS004903645,,
O[C@@H]1CCCC[C@H]1C(C)(C)C,6995537,CC(C)(C)C1CCCCC1O,,156.269,AKOS006237378,,
O[C@H]1CC[C@]2([C@H](C1)CCC1C2CC[C@]2(C1CCC2)C)C,2754138,CC12CCCC1C3CCC4CC(CCC4(C3CC2)C)O,,276.464,AKOS004902137,,
O[C@H]1CCC2[C@]1(C)CCC1C2CC[C@@H]2[C@]1(C)CCCC2,2754189,CC12CCCCC1CCC3C2CCC4(C3CCC4O)C,,276.464,AKOS002705556,,
O=C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)OCC(C(C(F)(F)F)(F)F)(F)F,56587774,C(C(C(C(F)(F)F)(F)F)(F)F)OC(=O)C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,,546.103,AKOS007930419,,
O=C(c1ccc(cc1)C(=O)OCc1ccccc1)OCc1ccccc1,88280,C1=CC=C(C=C1)COC(=O)C2=CC=C(C=C2)C(=O)OCC3=CC=CC=C3,,346.382,AKOS016845850,,
O=C(c1ccc(cc1)C)OC(=O)c1ccc(cc1)C,139413,CC1=CC=C(C=C1)C(=O)OC(=O)C2=CC=C(C=C2)C,,254.285,AKOS003273125,,
O=C(c1ccc(cc1)F)OC(=O)c1ccc(cc1)F,579438,C1=CC(=CC=C1C(=O)OC(=O)C2=CC=C(C=C2)F)F,,262.212,AKOS016005112,,
O=C(c1cccc(c1)B(O)O)OCc1ccccc1,2773249,B(C1=CC(=CC=C1)C(=O)OCC2=CC=CC=C2)(O)O,,256.064,AKOS015839321,,
O=C(c1cccc(c1)C(F)(F)F)OC(=O)c1cccc(c1)C(F)(F)F,599431,C1=CC(=CC(=C1)C(F)(F)F)C(=O)OC(=O)C2=CC(=CC=C2)C(F)(F)F,,362.227,AKOS005256936,,
O=C(c1ccccc1)OC[C@@H]1CCCOC1,91800988,C1CC(COC1)COC(=O)C2=CC=CC=C2,,220.268,AKOS025396188,,
O=C(c1ccccc1)OC[C@H]1CCCOC1,91800987,C1CC(COC1)COC(=O)C2=CC=CC=C2,,220.268,AKOS025396209,,
O=C(c1ccccc1)OC/C=C/c1ccccc1,5705112,C1=CC=C(C=C1)C=CCOC(=O)C2=CC=CC=C2,,238.286,AKOS004905721,,
O=C(c1ccccc1)OC1CCC=CC1,10171328,C1CC(CC=C1)OC(=O)C2=CC=CC=C2,,202.253,AKOS016845282,,
O=C(c1ccccc1)OCC(=O)C,23137,CC(=O)COC(=O)C1=CC=CC=C1,,178.187,AKOS022172870,,
O=C(c1ccccc1)OCC(COC(=O)c1ccccc1)(C)C,20169,CC(C)(COC(=O)C1=CC=CC=C1)COC(=O)C2=CC=CC=C2,,312.365,AKOS022172830,,
O=C(c1ccccc1)OCCC(c1ccccc1)OC(=O)c1ccccc1,2750414,C1=CC=C(C=C1)C(CCOC(=O)C2=CC=CC=C2)OC(=O)C3=CC=CC=C3,,360.409,AKOS004905729,,
O=C(c1ccccc1)OCCc1ccc(cc1)CCOC(=O)c1ccccc1,2749143,C1=CC=C(C=C1)C(=O)OCCC2=CC=C(C=C2)CCOC(=O)C3=CC=CC=C3,,374.436,AKOS004900825,,
O=C(c1ccccc1)OCCOC(F)(F)F,68154755,C1=CC=C(C=C1)C(=O)OCCOC(F)(F)F,,234.174,AKOS017344668,,
O=C(CCc1ccccc1)/C=C/OC(=O)c1ccccc1,5705114,C1=CC=C(C=C1)CCC(=O)C=COC(=O)C2=CC=CC=C2,,280.323,AKOS004905600,,
O=C1O/C(=C\c2ccccc2)/c2c1cccc2,642371,C1=CC=C(C=C1)C=C2C3=CC=CC=C3C(=O)O2,,222.243,AKOS000567737,,
O=C1OC(/C=C/c2ccccc2)Cc2c1cccc2,5705611,C1C(OC(=O)C2=CC=CC=C21)C=CC3=CC=CC=C3,,250.297,AKOS004907614,,
O=C1OC(Cc2c1cccc2)c1ccccc1,263144,C1C(OC(=O)C2=CC=CC=C21)C3=CC=CC=C3,,224.259,AKOS001145957,,
O=C1OCc2c(c3c1cccc3)cccc2,4613402,C1C2=CC=CC=C2C3=CC=CC=C3C(=O)O1,,210.232,AKOS000276674,,
O=C1OCc2c1cccc2,6885,C1C2=CC=CC=C2C(=O)O1,,134.134,AKOS000121167,,
O=Cc1ccc(cc1)CC(=O)OCc1ccccc1,19966221,C1=CC=C(C=C1)COC(=O)CC2=CC=C(C=C2)C=O,,254.285,AKOS022188250,,
O=Cc1ccc(cc1F)C(=O)OCc1ccccc1,59295103,C1=CC=C(C=C1)COC(=O)C2=CC(=C(C=C2)C=O)F,,258.248,AKOS022173642,,
O=CCCc1cccc(c1)C(=O)OCC,10262385,CCOC(=O)C1=CC(=CC=C1)CCC=O,,206.241,AKOS016014243,,
O=CCCCCCC(=O)OC,3015770,COC(=O)CCCCCC=O,,158.197,AKOS006272656,,
OB(c1ccc(cc1)C(=O)OC(C)C)O,2734703,B(C1=CC=C(C=C1)C(=O)OC(C)C)(O)O,,208.02,AKOS015838560,,
OB(c1ccc(cc1)C(=O)OCc1ccccc1)O,2773251,B(C1=CC=C(C=C1)C(=O)OCC2=CC=CC=C2)(O)O,,256.064,AKOS015839322,,
OC(=O)CCCCCCC(=O)O,10457,C(CCCC(=O)O)CCC(=O)O,,174.196,AKOS000119018,,
OC(=O)CCCCCCCCC(=O)O,5192,C(CCCCC(=O)O)CCCC(=O)O,1.2,202.25,AKOS000120056,,
OC(=O)CCCCCCCCCCC(=O)O,12736,C(CCCCCC(=O)O)CCCCC(=O)O,,230.304,AKOS015892807,,
OC(=O)CCCCCCCCCCCC(=O)O,10458,C(CCCCCC(=O)O)CCCCCC(=O)O,,244.331,AKOS005381208,,
OC(=O)CCCCCCCCCCCCC(=O)O,13185,C(CCCCCCC(=O)O)CCCCCC(=O)O,,258.358,AKOS015839774,,
OC(=O)CCCCCCCCCCCCCC(=O)O,160576,C(CCCCCCC(=O)O)CCCCCCC(=O)O,,272.385,AKOS016010374,,
OC(=O)CCCCCCCCCCCCCCC(=O)O,10459,C(CCCCCCCC(=O)O)CCCCCCC(=O)O,,286.412,AKOS015839798,,
OC(C(C)(C)C)/C=C/C=C/C(C)(C)C,84820215,CC(C)(C)C=CC=CC(C(C)(C)C)O,,196.334,AKOS024262873,,
OC(C(O)(C)C)C1CCCCC1,15568593,CC(C)(C(C1CCCCC1)O)O,,172.268,AKOS024263952,,
OC(C1CCCC=C1)C(C)C,2754970,CC(C)C(C1CCCC=C1)O,,154.253,AKOS004902614,,
OC[C@@H]1CC[C@H](CC1)CO,7735,C1CC(CCC1CO)CO,,144.214,AKOS015833096,,
OC[C@@H]1CCCC[C@@H]1CO,2724019,C1CCC(C(C1)CO)CO,,144.214,AKOS015915800,,
OC[C@@H]1CCCC[C@H]1CO,11217323,C1CCC(C(C1)CO)CO,,144.214,AKOS016000198,,
OC[C@H]([C@H]1CC[C@@H]2[C@]1(C)CCC[C@@H]2O)C,11042078,CC(CO)C1CCC2C1(CCCC2O)C,,212.333,AKOS017343723,,
OC[C@H](C1CCC2[C@]1(C)CCCC2O)C,57712187,CC(CO)C1CCC2C1(CCCC2O)C,,212.333,AKOS022193598,,
OC[C@H]1CC[C@H]2C[C@]1(O)C2(C)C,22831353,CC1(C2CCC(C1(C2)O)CO)C,,170.252,AKOS017343148,,
OC/C(=C/C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)/I,5708695,C(C(=CC(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)I)O,,502.014,AKOS025211692,,
OC/C(=C/CCC1(C)CCCC(C1)(C)C)/C,84820829,CC(=CCCC1(CCCC(C1)(C)C)C)CO,,224.388,AKOS024264291,,
OC/C(=C\C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)/I,5366122,C(C(=CC(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)I)O,,502.014,AKOS016015430,,
OC/C(=C\C(C(C(F)(F)F)(F)F)(F)F)/I,5376505,C(C(=CC(C(C(F)(F)F)(F)F)(F)F)I)O,,351.99,AKOS007930588,,
OC/C(=C\CC/C(=C/CC/C(=C/CC/C=C(/CC/C=C(/CCC=C(C)C)\C)\C)/C)/C)/C(O)(O)O,73554037,CC(=CCCC(=CCCC(=CCCC=C(C)CCC=C(C)CCC=C(CO)C(O)(O)O)C)C)C,,474.726,AKOS022184831,,
OC/C=C(/CC/C=C(/CC/C=C(/CCC=C(C)C)\C)\CO)\C,5282197,CC(=CCCC(=CCCC(=CCCC(=CCO)C)CO)C)C,,306.49,AKOS016014100,,
OC/C=C(/CCC[C@@H](CCC[C@@H](CCCC(C)C)C)C)\C,5280435,CC(C)CCCC(C)CCCC(C)CCCC(=CCO)C,,296.539,AKOS015841769,,
OC/C=C(\C=C\C1=C(C)CCCC1(C)C)/C,10443476,CC1=C(C(CCC1)(C)C)C=CC(=CCO)C,,220.356,AKOS024263171,,
OC/C=C(\CCC=C(C)C)/C,643820,CC(=CCCC(=CCO)C)C,,154.253,AKOS016008578,,
OC/C=C/C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,5708699,C(C=CC(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O,,476.133,AKOS015852692,,
OC/C=C/C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,5708693,C(C=CC(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O,,376.117,AKOS015852861,,
OC/C=C/C(C(C(C(F)(F)F)(F)F)(F)F)(F)F,5708662,C(C=CC(C(C(C(F)(F)F)(F)F)(F)F)(F)F)O,,276.102,AKOS016015336,,
OC/C=C/C(C(C(F)(F)F)(F)F)(C(F)(F)F)F,5708540,C(C=CC(C(C(F)(F)F)(F)F)(C(F)(F)F)F)O,,276.102,AKOS007930777,,
OC/C=C/C(C(F)(F)F)(F)F,14149394,C(C=CC(C(F)(F)F)(F)F)O,,176.086,AKOS025213216,,
OC/C=C\C(C(C(F)(F)F)(F)F)(C(F)(F)F)F,44717503,C(C=CC(C(C(F)(F)F)(F)F)(C(F)(F)F)F)O,,276.102,AKOS025211563,,
OC/C=C\C(C(F)(F)F)(C(F)(F)F)F,44717634,C(C=CC(C(F)(F)F)(C(F)(F)F)F)O,,226.094,AKOS017344911,,
OC/C=C\CO,643790,C(C=CCO)O,1.07,88.106,AKOS016015277,,
OC1[C@H]2C[C@@H]3C[C@H]1C[C@@](C2)(C3)O,6925928,C1C2CC3CC(C2)(CC1C3O)O,,168.236,AKOS006275755,,
OC12CCC3CC(C1)CC(C2)C3,565589,C1CC2(CC3CC1CC(C3)C2)O,,166.264,AKOS016844276,,
OC1CC(C)(C)CC(C1)(C)C,75851,CC1(CC(CC(C1)(C)C)O)C,,156.269,AKOS006282591,,
OC1CC[C@@]2(C1(C)CCC1C2CC[C@@]2(C1(C)CCCC2)C)C,2748126,CC12CCCCC1(C3CCC4(C(CCC4(C3CC2)C)O)C)C,,304.518,AKOS004903604,,
OC1CC2CCC1CC2,140410,C1CC2CCC1CC2O,,126.199,AKOS024047419,,
OC1CCC(CC1)C(C(=O)O)(C)C,57449962,CC(C)(C1CCC(CC1)O)C(=O)O,,186.251,AKOS024162794,,
OC1CCC(CC1)C(C)(C)C,7391,CC(C)(C)C1CCC(CC1)O,,156.269,AKOS000120382,,
OC1CCC(CC1)C(C1CCC(CC1)O)(C)C,94932,CC(C)(C1CCC(CC1)O)C2CCC(CC2)O,,240.387,AKOS015907919,,
OC1CCC(CC1)C1CCCCC1,75518,C1CCC(CC1)C2CCC(CC2)O,,182.307,AKOS015856373,,
OC1CCC(CC1)OC(=O)c1ccccc1,238109,C1CC(CCC1O)OC(=O)C2=CC=CC=C2,,220.268,AKOS016844745,,
OC1CCC2([C@@](C1)(C)CCC1C2CCC2(C1CCC2(O)C(O)C)C)C,2748240,CC(C1(CCC2C1(CCC3C2CCC4(C3(CCC(C4)O)C)C)C)O)O,,350.543,AKOS004903788,,
OC1CCC2([C@@](C1)(C)CCC1C2CCC2(C1CCC2)C)C,2748131,CC12CCCC1C3CCC4(CC(CCC4(C3CC2)C)O)C,,290.491,AKOS004903627,,
OC1CCC2(C(C1)CCC1C2CCC2(C1CC[C@@]2(O)C(O)C)C)C,2748241,CC(C1(CCC2C1(CCC3C2CCC4C3(CCC(C4)O)C)C)O)O,,336.516,AKOS004903793,,
OC1CCC2(C(C1)CCC1C2CCC2(C1CCC2C(O)C)C)C,4901,CC(C1CCC2C1(CCC3C2CCC4C3(CCC(C4)O)C)C)O,,320.517,AKOS004903632,,
OC1CCC2(C(C1)CCC1C2CCC2(C1CCC2O)C)C,11301,CC12CCC(CC1CCC3C2CCC4(C3CCC4O)C)O,,292.463,AKOS004903575,,
OC1CCC2(CC1)CCCC2,56962207,C1CCC2(C1)CCC(CC2)O,,154.253,AKOS016004545,,
OC1CCC2C(C1)CCC(C2)C(C)C,94453,CC(C)C1CCC2CC(CCC2C1)O,,196.334,AKOS006278456,,
OC1CCC2C1(C)CCC1C2CCC2C1(C)CCCC2,623919,CC12CCCCC1CCC3C2CCC4(C3CCC4O)C,,276.464,AKOS004903651,,
OC1CCCC=C1,13198,C1CC=CC(C1)O,,98.145,AKOS015840757,,
OC1CCCC=CCC1,98392,C1CC=CCCC(C1)O,,126.199,AKOS006292831,,
OC1CCCCC1(C)C,557637,CC1(CCCCC1O)C,,128.215,AKOS018400514,,
OCC(=C)CCCCCC(=C)C,84820164,CC(=C)CCCCCC(=C)CO,,168.28,AKOS024262779,,
OCC(=C)CCCCCC(=C)CO,84820163,C=C(CCCCCC(=C)CO)CO,,184.279,AKOS024262777,,
OCC(C(=C)C)CC=C(C)C,94060,CC(=CCC(CO)C(=C)C)C,,154.253,AKOS016011078,,
OCC(C(C)C)(CCC(C)C)CO,11745391,CC(C)CCC(CO)(CO)C(C)C,,188.311,AKOS016844938,,
OCC(C(C)C)CCC(C(C(C)C)O)(O)C,2750563,CC(C)C(CCC(C)(C(C(C)C)O)O)CO,,232.364,AKOS004901121,,
OCC(C1(C)CCC(C1(C)C)C)O,2750747,CC1CCC(C1(C)C)(C)C(CO)O,,186.295,AKOS004905936,,
OCC(C1CCCCC1)C,79509,CC(CO)C1CCCCC1,,142.242,AKOS006228465,,
OCC(CCCCCCCCC(=O)OC)F,10988196,COC(=O)CCCCCCCCC(CO)F,,234.311,AKOS024263954,,
OCC[C@H](CCC=C(C)C)C,7793,CC(CCC=C(C)C)CCO,,156.269,AKOS015902396,,
OCC/C=C\CC,5281167,CCC=CCCO,,100.161,AKOS015838970,,
OCC=CC#CCC,2755044,CCC#CC=CCO,,110.156,AKOS004909686,,
OCC1(C)C2CC3C1(C)C3C2,578221,CC1(C2CC3C1(C3C2)C)CO,,152.237,AKOS024262936,,
OCC1(C)CCC(C1(C)C)C,2750726,CC1CCC(C1(C)C)(C)CO,,156.269,AKOS004906034,,
OCC1(C)CCCCC1,1501840,CC1(CCCCC1)CO,,128.215,AKOS000282608,,
OCC1=CC[C@H](CC1)C(=C)C,369312,CC(=C)C1CCC(=CC1)CO,,152.237,AKOS016843795,,
OCC12CC3CC(C2)(CC(C1)(C3)C)C,4050097,CC12CC3CC(C1)(CC(C3)(C2)CO)C,,194.318,AKOS001056900,,
OCC12CCC(CC1)(CC2)CO,13227630,C1CC2(CCC1(CC2)CO)CO,,170.252,AKOS016006918,,
OCC1C(C)CCC(C1=O)C(C)C,2750470,CC1CCC(C(=O)C1CO)C(C)C,,184.279,AKOS004905651,,
OCC1C(CCC(C1=O)C)C(C)C,2750703,CC1CCC(C(C1=O)CO)C(C)C,,184.279,AKOS004905948,,
OCC1CC2(C(C1CC2)(C)C)C,2750898,CC1(C2CCC1(CC2CO)C)C,,168.28,AKOS004906174,,
OCC1CC2CC(C1=C)C2(C)C,15695189,CC1(C2CC(C(=C)C1C2)CO)C,,166.264,AKOS024264293,,
OCC1CCC(C1(C)C)(C)CO,2750589,CC1(C(CCC1(C)CO)CO)C,,172.268,AKOS016038000,,
