AKOS smile,CID,CanonicalSMILES,density g/cm3,MW,AKOS,weight (g),stored
CC(COC(=O)CCCCCCCC(=O)OCC(C)C)C,7776,CC(C)COC(=O)CCCCCCCC(=O)OCC(C)C,,300.439,AKOS024258487,,
CC(OC(=O)c1cccc(c1)B(O)O)C,2734363,B(C1=CC(=CC=C1)C(=O)OC(C)C)(O)O,,208.02,AKOS015838554,,
CC[C@]1(O)CCC2([C@@](C1)(C)CCC1C2CCC2(C1CCC2O)C)C,2748170,CCC1(CCC2(C3CCC4(C(C3CCC2(C1)C)CCC4O)C)C)O,,334.544,AKOS004903668,,
CC/C=C/C=C/CO,5367391,CCC=CC=CCO,,112.172,AKOS016010111,,
CC/C=C\CCCC/C=C\CC,14840125,CCC=CCCCCC=CCC,,166.308,AKOS024263044,,
CC#CCCCCCCCC(=O)OC,13355478,CC#CCCCCCCCC(=O)OC,,196.29,AKOS024264137,,
CC1(O)CC2CCC1CC2,296931,CC1(CC2CCC1CC2)O,,140.226,AKOS016006704,,
CC1(O)CCC(CC1)C(O)(C)C.O,17141,CC1(CCC(CC1)C(C)(C)O)O.O,,190.283,AKOS016013500,,
CC1=CC(CCC1)O,89487,CC1=CC(CCC1)O,,112.172,AKOS009158570,,
CC1=CCC[C@H](C([C@@H]1O)(C)C)O,2755160,CC1=CCCC(C(C1O)(C)C)O,,170.252,AKOS004909714,,
CC1CC(C)CC(C1)O,21584,CC1CC(CC(C1)O)C,,128.215,AKOS009156899,,
CC1CC(O)CC(C1)(C)C,8298,CC1CC(CC(C1)(C)C)O,,142.242,AKOS016844021,,
CC1CCC(C(C1)O)C,97959,CC1CCC(C(C1)O)C,,128.215,AKOS006229596,,
CC1CCC(C(C1)O)C(C)C,1254,CC1CCC(C(C1)O)C(C)C,0.904,156.269,AKOS000119740,,
CC1CCC(C(C1)O)C(O)(C)C,556998,CC1CCC(C(C1)O)C(C)(C)O,,172.268,AKOS015902316,,
CC1CCCC(C1)(C)O,558957,CC1CCCC(C1)(C)O,,128.215,AKOS009996015,,
Cc1cccc(c1)C(=O)OC(=O)c1cccc(c1)C,253301,CC1=CC=CC(=C1)C(=O)OC(=O)C2=CC(=CC=C2)C,,254.285,AKOS015842028,,
CC1CCCC(C1O)C,21428,CC1CCCC(C1O)C,,128.215,AKOS021983365,,
CC1CCCCC1(C)O,164822,CC1CCCCC1(C)O,,128.215,AKOS009996121,,
CC1CCCCC1O,11418,CC1CCCCC1O,0.93,114.188,AKOS016843913,,
CCC(/C=C/C=O)O,5283314,CCC(C=CC=O)O,,114.144,AKOS006273451,,
CCC(=O)[C@H](OC(=O)c1ccccc1)C,11424287,CCC(=O)C(C)OC(=O)C1=CC=CC=C1,,206.241,AKOS022173054,,
CCC(=O)CCCCCC(=O)O,545982,CCC(=O)CCCCCC(=O)O,,172.224,AKOS006277607,,
CCC(=O)CCCCCCC(=O)O,5282984,CCC(=O)CCCCCCC(=O)O,,186.251,AKOS006278403,,
CCC(=O)OC(=O)c1ccccc1,11961,CCC(=O)OC(=O)C1=CC=CC=C1,,178.187,AKOS022177870,,
CCC(C1CCC(CC1)O)(C)C,79302,CCC(C)(C)C1CCC(CC1)O,,170.296,AKOS000249586,,
CCC(C1CCCCC1)(C(CCC)O)O,2749621,CCCC(C(CC)(C1CCCCC1)O)O,,214.349,AKOS004905073,,
CCC(C1CCCCC1)O,86535,CCC(C1CCCCC1)O,,142.242,AKOS009157140,,
CCC(CCCC(C)C)(O)C,6548,CCC(C)(CCCC(C)C)O,,158.285,AKOS015841872,,
CCC[C@@H]1CCC(CC1)C1CC[C@H](CC1)O,3107830,CCCC1CCC(CC1)C2CCC(CC2)O,,224.388,AKOS024438127,,
CCC/C=C\CCC/C=C\CCC,84820759,CCCC=CCCCC=CCCC,,180.335,AKOS024264131,,
CCC1(O)CC(CCC1C)C(C)C,2750695,CCC1(CC(CCC1C)C(C)C)O,,184.323,AKOS004906087,,
CCC1(O)CCCC(C1)C,2750694,CCC1(CCCC(C1)C)O,,142.242,AKOS004906078,,
CCCC(=O)CCC(=O)OCC,12271529,CCCC(=O)CCC(=O)OCC,,172.224,AKOS010910511,,
CCCC(=O)CCCCC(=O)O,5282981,CCCC(=O)CCCCC(=O)O,,172.224,AKOS006277890,,
CCCC(=O)CCCCCC(=O)O,5312882,CCCC(=O)CCCCCC(=O)O,,186.251,AKOS006277891,,
CCCC(=O)CCCCCC(=O)OCC,24727454,CCCC(=O)CCCCCC(=O)OCC,,214.305,AKOS016022974,,
CCCC(C(C(O)C)C)O,248872,CCCC(C(C)C(C)O)O,,146.23,AKOS004909536,,
CCCC(C(CO)CC)O,7211,CCCC(C(CC)CO)O,,146.23,AKOS016051411,,
CCCC(CC(CO)CC)CC,549992,CCCC(CC)CC(CC)CO,,172.312,AKOS016003314,,
CCCC/C=C/C(C(F)(F)F)O,10012561,CCCCC=CC(C(F)(F)F)O,,182.186,AKOS024263117,,
CCCC/C=C/CCCCCCCCCCO,5352278,CCCCC=CCCCCCCCCCCO,,240.431,AKOS015839816,,
CCCC/C=C\C(C(F)(F)F)O,84820333,CCCCC=CC(C(F)(F)F)O,,182.186,AKOS024263114,,
CCCC/C=C\CCCC,5364449,CCCCC=CCCCC,,140.27,AKOS006228218,,
CCCC/C=C\CCCCCCCCC/C=C/CO,5283306,CCCCC=CCCCCCCCCCC=CCO,,266.469,AKOS025213454,,
CCCC/C=C\CCCCCCCCCC=O,5364495,CCCCC=CCCCCCCCCCC=O,,238.415,AKOS015839807,,
CCCC/C=C\CCCCCCCCCCO,5283305,CCCCC=CCCCCCCCCCCO,,240.431,AKOS015839808,,
CCCC/C=C\CCCCCCCCO,5364712,CCCCC=CCCCCCCCCO,,212.377,AKOS025212607,,
CCCc1ccc(cc1)C(=O)OC,12861010,CCCC1=CC=C(C=C1)C(=O)OC,,178.231,AKOS022174072,,
CCCCC(/C=C/[C@H]1COC(O1)(C)C)O,84820308,CCCCC(C=CC1COC(O1)(C)C)O,,214.305,AKOS024263069,,
CCCCC(/C=C\CO[Si](C(C)(C)C)(C)C)O,84820355,CCCCC(C=CCO[Si](C)(C)C(C)(C)C)O,,258.477,AKOS024263164,,
CCCCC(=O)CC(=O)OCC,559036,CCCCC(=O)CC(=O)OCC,,172.224,AKOS015855371,,
CCCCC(=O)CCC(=O)OCC,11830138,CCCCC(=O)CCC(=O)OCC,,186.251,AKOS010910401,,
CCCCC(=O)CCCCC(=O)O,5282983,CCCCC(=O)CCCCC(=O)O,,186.251,AKOS006277609,,
CCCCC(=O)CCCCC(=O)OCC,11063798,CCCCC(=O)CCCCC(=O)OCC,,214.305,AKOS016022941,,
CCCCC(C(C)(C)C)O,140543,CCCCC(C(C)(C)C)O,,144.258,AKOS011018651,,
CCCCC(CCC(=O)OCC)C,92058,CCCCC(C)CCC(=O)OCC,,186.295,AKOS006276325,,
CCCCC(CCC(CC(C)C)O)CC,97948,CCCCC(CC)CCC(CC(C)C)O,,214.393,AKOS016009845,,
CCCCC(COC(=O)c1ccccc1)CC,94310,CCCCC(CC)COC(=O)C1=CC=CC=C1,,234.339,AKOS016846200,,
CCCCC[C@@H]1CC[C@H](CC1)[C@@H]1CC[C@H](CC1)O,3126233,CCCCCC1CCC(CC1)C2CCC(CC2)O,,252.442,AKOS016003821,,
CCCCC/C(=C/C(C)C)/[2H],84820296,CCCCCC=CC(C)C,,141.276,AKOS024263047,,
CCCCC/C=C/C(C)(C)C,84820213,CCCCCC=CC(C)(C)C,,154.297,AKOS024262871,,
CCCCC/C=C/C(C)C,5365981,CCCCCC=CC(C)C,,140.27,AKOS024263045,,
CCCCC/C=C/C=C\C=C,5367410,CCCCCC=CC=CC=C,,150.265,AKOS024263056,,
CCCCC/C=C\C,5356796,CCCCCC=CC,,112.216,AKOS006228003,,
CCCCC/C=C\C(C)(C)C,84820295,CCCCCC=CC(C)(C)C,,154.297,AKOS024263046,,
CCCCC/C=C\C(C)C,12936866,CCCCCC=CC(C)C,,140.27,AKOS024263048,,
CCCCC/C=C\C/C=C\C,58361173,CCCCCC=CCC=CC,,152.281,AKOS024263058,,
CCCCC/C=C\C/C=C\CCCCCCCCO,5365682,CCCCCC=CCC=CCCCCCCCCO,,266.469,AKOS015839888,,
CCCCc1ccc(cc1)C(=O)OC,88630,CCCCC1=CC=C(C=C1)C(=O)OC,,192.258,AKOS006229551,,
CCCCCC(/C=C/C=C/C=C/C)O,84820218,CCCCCC(C=CC=CC=CC)O,,194.318,AKOS024262879,,
CCCCCC(=O)CC(=O)C(=O)OCC,12777406,CCCCCC(=O)CC(=O)C(=O)OCC,,214.261,AKOS010652650,,
CCCCCC(=O)CCC(=O)OCC,12441329,CCCCCC(=O)CCC(=O)OCC,,200.278,AKOS010910614,,
CCCCCC(=O)CCCC(=O)OCC,3022909,CCCCCC(=O)CCCC(=O)OCC,,214.305,AKOS016022952,,
CCCCCC(=O)OCCCC(F)(F)F,45075683,CCCCCC(=O)OCCCC(F)(F)F,,226.239,AKOS017343232,,
CCCCCC(C(=O)OC(=O)C(CCCCC)C)C,46779060,CCCCCC(C)C(=O)OC(=O)C(C)CCCCC,,270.413,AKOS025396835,,
CCCCCC/C=C(/C(O)C)\C,12768714,CCCCCCC=C(C)C(C)O,,170.296,AKOS024263050,,
CCCCCC/C=C/C(=O)O,5312586,CCCCCCC=CC(=O)O,,156.225,AKOS006230171,,
CCCCCC/C=C/C(=O)OC,5368076,CCCCCCC=CC(=O)OC,,170.252,AKOS005381295,,
CCCCCC/C=C/C(O)C,5365770,CCCCCCC=CC(C)O,,156.269,AKOS024264260,,
CCCCCC/C=C/C=C/C,12397158,CCCCCCC=CC=CC,,152.281,AKOS024262869,,
CCCCCC/C=C/CCCC,5364444,CCCCCCC=CCCCC,,168.324,AKOS024262897,,
CCCCCC/C=C/CCO,5352493,CCCCCCC=CCCO,,156.269,AKOS024264262,,
CCCCCC/C=C\C=C,12276242,CCCCCCC=CC=C,,138.254,AKOS024264252,,
CCCCCC/C=C\CCCCCCCC=O,5364643,CCCCCCC=CCCCCCCCC=O,,238.415,AKOS016004818,,
CCCCCCC(/C(=C/C)/C)O,15527754,CCCCCCC(C(=CC)C)O,,170.296,AKOS024262916,,
CCCCCCC(=O)OC(=O)CCCCCC,69376,CCCCCCC(=O)OC(=O)CCCCCC,,242.359,AKOS025396821,,
CCCCCCC(C(=O)OC)Br,95579,CCCCCCC(C(=O)OC)Br,,237.137,AKOS016009491,,
CCCCCCC(CO)C,102495,CCCCCCC(C)CO,,144.258,AKOS013993199,,
CCCCCCC/C=C/C=O,5283345,CCCCCCCC=CC=O,,154.253,AKOS015839092,,
CCCCCCC/C=C/CC(=O)C,71307285,CCCCCCCC=CCC(=O)C,,182.307,AKOS016006185,,
CCCCCCC/C=C/CC(=O)CC,21953547,CCCCCCCC=CCC(=O)CC,,196.334,AKOS016006261,,
CCCCCCCC(=O)CC(=O)OCC,83224,CCCCCCCC(=O)CC(=O)OCC,,214.305,AKOS022172951,,
CCCCCCCC(=O)OC(COC(=O)CCCCCCC)COC(=O)CCCCCCC,10850,CCCCCCCC(=O)OCC(COC(=O)CCCCCCC)OC(=O)CCCCCCC,0.954,470.691,AKOS015899778,,
CCCCCCCC/C=C/CCCCCCCCO,5367665,CCCCCCCCC=CCCCCCCCCO,,268.485,AKOS015839897,,
CCCCCCCC1CCC(=O)O1,7714,CCCCCCCC1CCC(=O)O1,,184.279,AKOS001076126,,
CCCCCCCCC(=O)C(=O)OCC,12750087,CCCCCCCCC(=O)C(=O)OCC,,214.305,AKOS024261991,,
CCCCCCCCC(=O)OC(=O)CCCCCCCC,74304,CCCCCCCCC(=O)OC(=O)CCCCCCCC,,298.467,AKOS025396803,,
CCCCCCCCC(=O)OCCCCCCCC(C)C,66957,CCCCCCCCC(=O)OCCCCCCCC(C)C,,298.511,AKOS016009813,,
CCCCCCCCC(C(=O)OCC)Br,95581,CCCCCCCCC(C(=O)OCC)Br,,279.218,AKOS015833920,,
CCCCCCCCC/C=C/C=C/C=C/C=C/C=C/C=C/C(=O)O,6442063,CCCCCCCCCC=CC=CC=CC=CC=CC=CC(=O)O,,328.496,AKOS016013070,,
CCCCCCCCCC(=O)[O-].[Na+],4457968,CCCCCCCCCC(=O)[O-].[Na+],,194.25,AKOS015839877,,
CCCCCCCCCCC(=O)O,8180,CCCCCCCCCCC(=O)O,0.891,186.295,AKOS000276906,,
CCCCCCCCCCC(=O)OCC,12327,CCCCCCCCCCC(=O)OCC,,214.349,AKOS015839824,,
CCCCCCCCCCCC(=O)CC(=O)OC,89670,CCCCCCCCCCCC(=O)CC(=O)OC,,256.386,AKOS015901948,,
CCCCCCCCCCCC(=O)OC,8139,CCCCCCCCCCCC(=O)OC,,214.349,AKOS004910323,,
CCCCCCCCCCCC(=O)OCCC(C)C,61386,CCCCCCCCCCCC(=O)OCCC(C)C,,270.457,AKOS025402732,,
CCCCCCCCCCCCC/C=C/C(=O)O,5282743,CCCCCCCCCCCCCC=CC(=O)O,,254.414,AKOS015839097,,
CCCCCCCCCCCCC/C=C/C=C/C(=O)O,5312457,CCCCCCCCCCCCCC=CC=CC(=O)O,,280.452,AKOS016009052,,
CCCCCCCCCCCCC/C=C\CCCCCCCC,5365075,CCCCCCCCCCCCCC=CCCCCCCCC,,322.621,AKOS024462408,,
CCCCCCCCCCCCCC(=O)OC,31284,CCCCCCCCCCCCCC(=O)OC,,242.403,AKOS004910358,,
CCCCCCCCCCCCCC(=O)OCC,31283,CCCCCCCCCCCCCC(=O)OCC,,256.43,AKOS015839783,,
CCCCCCCCCCCCCCC/C=C/CO,5364416,CCCCCCCCCCCCCCCC=CCO,,268.485,AKOS025213206,,
CCCCCCCCCCCCCCCC(=O)OC(COC(=O)CCCCCCCCCCCCCCC)COC(=O)CCCCCCCCCCCCCCC,11147,CCCCCCCCCCCCCCCC(=O)OCC(COC(=O)CCCCCCCCCCCCCCC)OC(=O)CCCCCCCCCCCCCCC,,807.339,AKOS015899780,,
CCCCCCCCCCCCCCCC(=O)OCC,12366,CCCCCCCCCCCCCCCC(=O)OCC,,284.484,AKOS004910397,,
CCCCCCCCCCCCCCCCCC(=O)OC(=O)CCCCCCCCCCCCCCCCC,69485,CCCCCCCCCCCCCCCCCC(=O)OC(=O)CCCCCCCCCCCCCCCCC,,550.953,AKOS016015529,,
CCCCCCCCCCCCCCCCCC(=O)OCCC,77190,CCCCCCCCCCCCCCCCCC(=O)OCCC,,326.565,AKOS017343276,,
CCCCCCCCCCCCCCCCCCCC(=O)O,10467,CCCCCCCCCCCCCCCCCCCC(=O)O,,312.538,AKOS015839825,,
CCCCCCCCCCCCCCCCCCCCCC(=O)OCC,22199,CCCCCCCCCCCCCCCCCCCCCC(=O)OCC,,368.646,AKOS022172024,,
CCCCCCCCCCCCCCCCOC(=O)CCCCCCCCCCCCC,75779,CCCCCCCCCCCCCCCCOC(=O)CCCCCCCCCCCCC,,452.808,AKOS022183496,,
CCCCCCCCCCCCCCOC(=O)C,12531,CCCCCCCCCCCCCCOC(=O)C,,256.43,AKOS016006385,,
CCCCCCCOC(=O)CCCCCC,69350,CCCCCCCOC(=O)CCCCCC,,228.376,AKOS015843132,,
CCCCOC(=O)C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,2778841,CCCCOC(=O)C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,,470.178,AKOS016015456,,
CCCCOC(=O)c1cccc(c1)B(O)O,11183638,B(C1=CC(=CC=C1)C(=O)OCCCC)(O)O,,222.047,AKOS022173304,,
CCCCOC(=O)c1ccccc1C(=O)OCc1ccccc1,2347,CCCCOC(=O)C1=CC=CC=C1C(=O)OCC2=CC=CC=C2,1.12,312.365,AKOS015839717,,
CCCCOC(=O)CCCC,61137,CCCCC(=O)OCCCC,,158.241,AKOS015839693,,
