"","AKOS.smile","CID","CanonicalSMILES","density.g.cm3","MW","AKOS","weight..g.","stored"
"326","OC(C1CCCC=C1)C(C)C",2754970,"CC(C)C(C1CCCC=C1)O",,154.253,"004902614",,
"282","O[C@@H]1CCC=C([C@H]([C@H]1C)O)C",2755158,"CC1C(CCC=C(C1O)C)O",,156.225,"004902637",,
"283","O[C@@H]1CCC=C[C@H](C1(C)C)O",2755159,"CC1(C(CCC=CC1O)O)C",,156.225,"004902645",,
"31","CC([C@H]1CCCC[C@@H]1O)C",2747987,"CC(C)C1CCCCC1O",,142.242,"004903434",,
"400","OCCCC(C1CCC2C1(C)CCC1C2CCC2C1(C)CCCC2)C",612593,"CC(CCCO)C1CCC2C1(CCC3C2CCC4C3(CCCC4)C)C",,346.599,"004903439",,
"364","OC1CCC2(C(C1)CCC1C2CCC2(C1CCC2O)C)C",11301,"CC12CCC(CC1CCC3C2CCC4(C3CCC4O)C)O",,292.463,"004903575",,
"353","OC1CC[C@@]2(C1(C)CCC1C2CC[C@@]2(C1(C)CCCC2)C)C",2748126,"CC12CCCCC1(C3CCC4(C(CCC4(C3CC2)C)O)C)C",,304.518,"004903604",,
"361","OC1CCC2([C@@](C1)(C)CCC1C2CCC2(C1CCC2)C)C",2748131,"CC12CCCC1C3CCC4(CC(CCC4(C3CC2)C)O)C",,290.491,"004903627",,
"363","OC1CCC2(C(C1)CCC1C2CCC2(C1CCC2C(O)C)C)C",4901,"CC(C1CCC2C1(CCC3C2CCC4C3(CCC(C4)O)C)C)O",,320.517,"004903632",,
"286","O[C@@H]1CCC2(C(C1)(C)CCC1C2CCC2(C1CC[C@]2(O)C(O)C)C)C",2748166,"CC(C1(CCC2C1(CCC3C2CCC4(C3(CCC(C4)O)C)C)C)O)O",,350.543,"004903645",,
"285","O[C@@H]1CCC2(C(C1)(C)CCC1C2CCC2(C1C[C@](C2)(O)C(O)C)C)C",2748135,"CC(C1(CC2C3CCC4(CC(CCC4(C3CCC2(C1)C)C)O)C)O)O",,350.543,"004903649",,
"284","O[C@@H]1CCC2([C@@H](C1)CCC1C2CCC2([C@H]1CC[C@]2(C)O)C)C",2748136,"CC12CCC(CC1CCC3C2CCC4(C3CCC4(C)O)C)O",,306.49,"004903650",,
"367","OC1CCC2C1(C)CCC1C2CCC2C1(C)CCCC2",623919,"CC12CCCCC1CCC3C2CCC4(C3CCC4O)C",,276.464,"004903651",,
"50","CC[C@]1(O)CCC2([C@@](C1)(C)CCC1C2CCC2(C1CCC2O)C)C",2748170,"CCC1(CCC2(C3CCC4(C(C3CCC2(C1)C)CCC4O)C)C)O",,334.544,"004903668",,
