CID,CanonicalSMILES,AKOS,phase,density.g.cm3,MW
2724019,C1CCC(C(C1)CO)CO,15915800,S,,144.214
11217323,C1CCC(C(C1)CO)CO,16000198,S,,144.214
3126233,CCCCCC1CCC(CC1)C2CCC(CC2)O,16003821,S,,252.442
69485,CCCCCCCCCCCCCCCCCC(=O)OC(=O)CCCCCCCCCCCCCCCCC,16015529,S,,550.953
75779,CCCCCCCCCCCCCCCCOC(=O)CCCCCCCCCCCCC,22183496,S,,452.808
6885,C1C2=CC=CC=C2C(=O)O1,121167,S,,134.134
5192,C(CCCCC(=O)O)CCCC(=O)O,120056,S,1.2,202.25
12736,C(CCCCCC(=O)O)CCCCC(=O)O,15892807,S,,230.304
7391,CC(C)(C)C1CCC(CC1)O,120382,S,,156.269
1254,CC1CCC(C(C1)O)C(C)C,119740,S,0.904,156.269
10457,C(CCCC(=O)O)CCC(=O)O,119018,S,,174.196
8298,CC1CC(CC(C1)(C)C)O,16844021,S,,142.242
642371,C1=CC=C(C=C1)C=C2C3=CC=CC=C3C(=O)O2,567737,S,,222.243
10467,CCCCCCCCCCCCCCCCCCCC(=O)O,15839825,S,,312.538
77237,C(CCCCCO)CCCCC(=O)O,5394200,S,,202.294
10458,C(CCCCCC(=O)O)CCCCCC(=O)O,5381208,S,,244.331
160576,C(CCCCCCC(=O)O)CCCCCCC(=O)O,16010374,S,,272.385
11042078,CC(CO)C1CCC2C1(CCCC2O)C,17343723,S,,212.333
13099,COC(=O)C1=CC=C(C=C1)C2=CC=C(C=C2)C(=O)OC,1588888,S,,270.284
170805,CC1=CC=C(C=C1)C2=CC=C(C=C2)C(=O)OC,2679543,S,,226.275
1394187,CC1=CC=C(C=C1)C2=CC(=CC=C2)C(=O)OC,2679583,S,,226.275
23005364,B(C1=CC=C(C=C1)C(=O)OCCC)(O)O,4113802,S,,208.02
4112125,COC(=O)C1=CC=C(C=C1)C2=CC=CC=C2C=O,4113834,S,,240.258
1393873,CC1=CC=C(C=C1)C2=CC=CC=C2C(=O)OC,4114791,S,,226.275
5910650,CC1=CC=C(C=C1)C(=O)OC=CC(=O)OC,5093990,S,,220.224
519631,CCOC(=O)C1=C(C=CC=C1F)F,8947914,S,,186.158
17141,CC1(CCC(CC1)C(C)(C)O)O.O,16013500,S,,190.283
46738073,[B-](C1=CC=C(C=C1)C(=O)OCC)(F)(F)F.[K+],16339828,S,,256.073
16666,CC1CCC(C(C1)O)C(C)C,16842647,S,0.904,156.269
57712187,CC(CO)C1CCC2C1(CCCC2O)C,22193598,S,,212.333
582534,C1=CC=C(C=C1)COC(=O)C2=CC=C(C=C2)C#N,2474881,S,,237.258
21584,CC1CC(CC(C1)O)C,9156899,S,,128.215
18920184,CCOC(=O)C1=C(C=C(C=C1)F)C,6293745,S,,182.194
57449962,CC(C)(C1CCC(CC1)O)C(=O)O,24162794,S,,186.251
139743,COC(=O)CC1CCCCC1,8910111,S,,156.225
97959,CC1CCC(C(C1)O)C,6229596,S,,128.215
7735,C1CC(CCC1CO)CO,15833096,S,,144.214
263144,C1C(OC(=O)C2=CC=CC=C21)C3=CC=CC=C3,1145957,S,,224.259
2754189,CC12CCCCC1CCC3C2CCC4(C3CCC4O)C,2705556,S,,276.464
2749143,C1=CC=C(C=C1)C(=O)OCCC2=CC=C(C=C2)CCOC(=O)C3=CC=CC=C3,4900825,S,,374.436
2750563,CC(C)C(CCC(C)(C(C(C)C)O)O)CO,4901121,S,,232.364
2752851,CC(=O)OC(CCC(=O)C1=CC=CC=C1)C2=CC=CC=C2,4901905,S,,282.339
2754138,CC12CCCC1C3CCC4CC(CCC4(C3CC2)C)O,4902137,S,,276.464
2755159,CC1(C(CCC=CC1O)O)C,4902645,S,,156.225
2747987,CC(C)C1CCCCC1O,4903434,S,,142.242
612593,CC(CCCO)C1CCC2C1(CCC3C2CCC4C3(CCCC4)C)C,4903439,S,,346.599
11301,CC12CCC(CC1CCC3C2CCC4(C3CCC4O)C)O,4903575,S,,292.463
2748126,CC12CCCCC1(C3CCC4(C(CCC4(C3CC2)C)O)C)C,4903604,S,,304.518
2748131,CC12CCCC1C3CCC4(CC(CCC4(C3CC2)C)O)C,4903627,S,,290.491
4901,CC(C1CCC2C1(CCC3C2CCC4C3(CCC(C4)O)C)C)O,4903632,S,,320.517
2748166,CC(C1(CCC2C1(CCC3C2CCC4(C3(CCC(C4)O)C)C)C)O)O,4903645,S,,350.543
2748135,CC(C1(CC2C3CCC4(CC(CCC4(C3CCC2(C1)C)C)O)C)O)O,4903649,S,,350.543
2748136,CC12CCC(CC1CCC3C2CCC4(C3CCC4(C)O)C)O,4903650,S,,306.49
623919,CC12CCCCC1CCC3C2CCC4(C3CCC4O)C,4903651,S,,276.464
2748170,CCC1(CCC2(C3CCC4(C(C3CCC2(C1)C)CCC4O)C)C)O,4903668,S,,334.544
2748240,CC(C1(CCC2C1(CCC3C2CCC4(C3(CCC(C4)O)C)C)C)O)O,4903788,S,,350.543
2748241,CC(C1(CCC2C1(CCC3C2CCC4C3(CCC(C4)O)C)C)O)O,4903793,S,,336.516
2749621,CCCC(C(CC)(C1CCCCC1)O)O,4905073,S,,214.349
2750154,CC1(C2CCC1(C(C2CCO)O)C)C,4905463,S,,198.306
2750414,C1=CC=C(C=C1)C(CCOC(=O)C2=CC=CC=C2)OC(=O)C3=CC=CC=C3,4905729,S,,360.409
2750747,CC1CCC(C1(C)C)(C)C(CO)O,4905936,S,,186.295
2750726,CC1CCC(C1(C)C)(C)CO,4906034,S,,156.269
5705611,C1C(OC(=O)C2=CC=CC=C21)C=CC3=CC=CC=C3,4907614,S,,250.297
2754261,CC(C)CCCC(C)C1CCC2C1(CCC3C2CCC4C3(CCC(C4)O)C)C,4909035,S,,388.68
2755160,CC1=CCCC(C(C1O)(C)C)O,4909714,S,,170.252
75851,CC1(CC(CC(C1)(C)C)O)C,6282591,S,,156.269
2750589,CC1(C(CCC1(C)CO)CO)C,16038000,S,,172.268
84820163,C=C(CCCCCC(=C)CO)CO,24262777,S,,184.279
578221,CC1(C2CC3C1(C3C2)C)CO,24262936,S,,152.237
11831365,COC(=O)CCCCCCCCC(CF)O,24263949,S,,234.311
15568593,CC(C)(C(C1CCCCC1)O)O,24263952,S,,172.268
11022861,COC(=O)CCCCCCCCC(CBr)F,24263961,S,,297.208
6436867,CC=CCCCCCCCCO,24264141,S,,170.296
87212466,C(CCCCO)CCCC=CCCCCCCCCO,26669941,S,,284.484
11832052,C(CCCC=CCCCCCCCO)CCCO,26669942,S,,256.43
2773251,B(C1=CC=C(C=C1)C(=O)OCC2=CC=CC=C2)(O)O,1539322,S,,256.064
2734363,B(C1=CC(=CC=C1)C(=O)OC(C)C)(O)O,15838554,S,,208.02
2734703,B(C1=CC=C(C=C1)C(=O)OC(C)C)(O)O,15838560,S,,208.02
2773249,B(C1=CC(=CC=C1)C(=O)OCC2=CC=CC=C2)(O)O,15839321,S,,256.064
13185,C(CCCCCCC(=O)O)CCCCCC(=O)O,15839774,S,,258.358
89670,CCCCCCCCCCCC(=O)CC(=O)OC,15901948,S,,256.386
4050097,CC12CC3CC(C1)(CC(C3)(C2)CO)C,1056900,S,,194.318
5375161,COC(=O)C=CC1=CC=C(C=C1)C(=O)OC,8392074,S,,220.224
46311439,CCOC(=O)C1=CC(=C(C(=C1)F)F)F,12488407,S,,204.148
