,AKOS.smile,CID,CanonicalSMILES,density.g.cm3,MW,AKOS,quantity (g),stored,,,
308,O=C1OC(Cc2c1cccc2)c1ccccc1,263144,C1C(OC(=O)C2=CC=CC=C21)C3=CC=CC=C3,,224.259,1145957,0.01240,,,,
265,COC(=O)c1ccccc1F,67854,COC(=O)C1=CC=CC=C1F,,154.14,1428541,0.01000,,,,
250,COC(=O)c1ccc(cc1)c1ccc(cc1)C(=O)OC,13099,COC(=O)C1=CC=C(C=C1)C2=CC=C(C=C2)C(=O)OC,,270.284,1588888,0.01000,,,,
276,N#Cc1ccc(cc1)C(=O)OCc1ccccc1,582534,C1=CC=C(C=C1)COC(=O)C2=CC=C(C=C2)C#N,,237.258,2474881,0.01030,,,,
258,COC(=O)c1cccc(c1)c1cccc(c1)C,1392448,CC1=CC=CC(=C1)C2=CC(=CC=C2)C(=O)OC,,226.275,2678385,0.01000,,,,
252,COC(=O)c1ccc(cc1)c1cccc(c1)C,1393157,CC1=CC=CC(=C1)C2=CC=C(C=C2)C(=O)OC,,226.275,2678682,,,,,
249,COC(=O)c1ccc(cc1)c1ccc(cc1)C,170805,CC1=CC=C(C=C1)C2=CC=C(C=C2)C(=O)OC,,226.275,2679543,0.01000,,,,
257,COC(=O)c1cccc(c1)c1ccc(cc1)C,1394187,CC1=CC=C(C=C1)C2=CC(=CC=C2)C(=O)OC,,226.275,2679583,0.01000,,,,
289,O[C@H]1CCC2[C@]1(C)CCC1C2CC[C@@H]2[C@]1(C)CCCC2,2754189,CC12CCCCC1CCC3C2CCC4(C3CCC4O)C,,276.464,2705556,0.01270,,,,
292,O=C(c1ccc(cc1)C)OC(=O)c1ccc(cc1)C,139413,CC1=CC=C(C=C1)C(=O)OC(=O)C2=CC=C(C=C2)C,,254.285,3273125,,,,,
269,COC(=O)CCCCCCCC(=O)O,75009,COC(=O)CCCCCCCC(=O)O,,202.25,3382269,,,,,
180,CCOC(=O)C(C(C(C(C(C(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,2737218,CCOC(=O)C(C(C(C(C(C(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,,374.126,3789060,,,,,
260,COC(=O)c1ccccc1c1ccc(cc1)C=O,4325150,COC(=O)C1=CC=CC=C1C2=CC=C(C=C2)C=O,,240.258,4113749,,,,,
176,CCCOC(=O)c1cccc(c1)B(O)O,23005363,B(C1=CC(=CC=C1)C(=O)OCCC)(O)O,,208.02,4113801,0.01000,fridge,,,
