X,CID,CanonicalSMILES,AKOS,phase,density.g.cm3,MW,csid,density
33,12366,CCCCCCCCCCCCCCCC(=O)OCC,4910397,L,NA,284.484,11860,0.9
34,84820218,CCCCCC(C=CC=CC=CC)O,24262879,L,NA,194.318,29786084,0.9
35,77134639,CC(CCC=C(C)CO)CCO,24263033,L,NA,172.268,57499184,0.9
36,12936866,CCCCCC=CC(C)C,24263048,L,NA,140.27,4517914,0.7
37,84820308,CCCCC(C=CC1COC(O1)(C)C)O,24263069,L,NA,214.305,29786091,1.0
38,17750637,CCOC(=O)CC1CCCCCCCCCCC1,24264069,L,NA,254.414,16499839,0.9
39,84820759,CCCC=CCCCC=CCCC,24264131,L,NA,180.335,57521722,0.8
40,5366264,CC(=C)C=CCC(C)(C=C)O,24264261,L,NA,152.237,4518161,0.9
41,86535,CCC(C1CCCCC1)O,9157140,L,NA,142.242,78047,0.9
42,89487,CC1=CC(CCC1)O,9158570,L,NA,112.172,80762,1.0
43,21428,CC1CCCC(C1O)C,21983365,L,NA,128.215,20139,0.9
44,122490,CCOC(=O)CCCCCCBr,15836154,L,NA,237.137,109212,1.2
45,264813,CCOC(=O)CCCCCCCBr,15836156,L,NA,251.164,232673,1.2
46,643820,CC(=CCCC(=CCO)C)C,16008578,L,NA,154.253,13849989,0.9
47,79302,CCC(C)(C)C1CCC(CC1)O,249586,L,NA,170.296,71624,0.9
48,3083855,COC(=O)CCCCCO,6274124,L,NA,146.186,2341002,1.0
49,32786,CC1=CC(=CC(=C1)C(=O)OC)C,8904378,L,NA,164.204,30388,1.0
50,247667,CCOC(=O)CC1CCCC1,8947756,L,NA,156.225,216809,1.0
51,22448154,CCOC(=O)C1=C(C(=CC=C1)C)C,8947842,L,NA,178.231,13451005,1.0
52,15247548,COCC1=CC=C(C=C1)C(=O)OC,8954989,L,NA,180.203,11569792,1.1
53,12777406,CCCCCC(=O)CC(=O)C(=O)OCC,10652650,L,NA,214.261,14425946,1.0
54,12441329,CCCCCC(=O)CCC(=O)OCC,10910614,L,NA,200.278,14909291,0.9
55,559036,CCCCC(=O)CC(=O)OCC,15855371,L,NA,172.224,485973,1.0
56,23005363,B(C1=CC(=CC=C1)C(=O)OCCC)(O)O,4113801,S,NA,208.02,12951173,1.2
57,10219606,CC1(C2CC1C(C(C2)O)(C)O)C,5256255,S,NA,170.252,55886,1.1
58,10459,C(CCCCCCCC(=O)O)CCCCCCC(=O)O,15839798,S,NA,286.412,10027,1.0
59,74300,C(CCCCC(=O)O)CCCCO,15856518,S,NA,188.267,66903,1.0
